,AuthorID,Author,Reply_date,Reply_time,Text
0,badboy1,badboy1,2012-09-27,20:38:17,哪里可以传图片，烦请告知，谢谢
1,%B4%F3%B7%C9,大飞,2012-09-27,21:13:09,微博 孔网书店
2,%B1%F9%CB%AC%B2%E8,冰爽茶,2012-09-28,09:59:18,先传到微波在转到布衣
3,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2012-09-28,10:01:36,三老板关于赏书的语录：如果有上图不方便的朋友，请把图片打包发送到booyeebooks@126.com，我将图片上传后消息告知图片链接地址，再发帖不迟。
4,badboy1,badboy1,2012-09-28,12:36:38,传微博了，现在能看否
5,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2012-09-28,12:39:18,哈哈哈。。。好东西。。。。
6,badboy1,badboy1,2012-09-28,13:05:00,买这本书纯属意外。某周六在pjy买书之余买了两个飞机模型玩具，回到家才发现飞机落在某个摊子了。周日早晨临时起意再去一次pjy。到了那里已经快10点了。因为时近周日中午，书已经被猎人们筛了好几遍了。从西区转到东区卖我飞机的摊主处，收获寥寥。问了下摊主，还有飞机不？摊主拿出两个，我掏钱，顺带说了句，昨天在你这里买了两个，后来不知道落在谁那里了。摊主忙说，昨天的你拿着走了，这俩是我早晨从家里拿来的。摊主满脸真诚，我付了10元之后，继续淘书。到处是2元书，两块一本，5块三本的吆喝声此起彼伏。在这些地方，我大都是扫一眼，快速走过。快到门洞那里有2元摊人不多，我先看到一本外文书，弯腰去拿，又发现书下压着一本自印书。拿起来翻看了下，是本诗集，看题签以为是X山学，看目录页才知道原来是南山草，从头翻到尾也没找到作者是谁。不过觉得诗写得有意思，就一块买下了。回到家，摆渡谷歌一番，才知道原来是聂绀弩的诗集。原藏者的名字像“凤号”或者“凤亏”甚是怪异，遍查不着。继续看聂绀弩相关的网文，看到陈凤兮，恍然大悟，众里寻他千百度，那人就叫陈凤兮。翻检全书，校改共有27处。后查聂绀弩的研究文章方知聂1979年4月23日写信给彭燕郊，让他按照前两本（北荒草和赠答草）的格式和大小印制南山草，初定约70首诗（最后印了64首），印100册。后来彭不负重托，让同厂的文学青年柯志远帮忙刻蜡板，并油印，装订，具体印数不详。
7,8213073,8213073,2012-09-28,13:12:01,多谢那架落下的飞机.
8,%CE%FD%CF%F3%D1%AC%D5%AB,锡象熏斋,2012-09-28,13:37:28,小坏写了一大段文字，但是还是没有说明为啥是红颜知己。
9,badboy1,badboy1,2012-09-28,14:54:10,作者：锡象熏斋 提交日期：2012-09-28 13:37:28      小坏写了一大段文字，但是还是没有说明为啥是红颜知己。  -----------这是急就章，中午吃完饭敲上去的。红颜知己的事以后再说，大家以看书为主吧，准备假期有空好好写一下，争取写2000字的一篇小文。
