,AuthorID,Author,Reply_date,Reply_time,Text
0,morning,morning,2013-01-26,20:10:29,同样是关于哀悼的帖子，为什么将我的帖子移了!严重抗议!发誓从今天开始不以任何方式任何马甲购买布衣书局任何一本书!如有违反，则支付10倍的书款!请胡同和布衣全部员工监督!
1,%C8%FD%CA%AE%C4%EA%B4%FA,三十年代,2013-01-26,20:14:49,两个帖子我都挪了，没只挪您一个。抱歉。
2,%C8%FD%CA%AE%C4%EA%B4%FA,三十年代,2013-01-26,20:18:09,希望三年以后，布衣书局还在，还有机会继续卖给您书。
3,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2013-01-26,20:18:20,哈哈哈。。。听这口气。。。以为胡同要靠着楼主吃饭呢。。。哈哈哈。。。。
4,%C4%BD%E3%A1%D5%AB%D6%F7%C8%CB,慕恪斋主人,2013-01-26,20:19:18,声援毛宁！！！！
5,%C4%BD%E3%A1%D5%AB%D6%F7%C8%CB,慕恪斋主人,2013-01-26,20:19:40,对毛宁的遭遇表示哀悼！！！！
6,morning,morning,2013-01-26,20:20:14,可以只靠着楼上的就有饭吃了!
7,%D9%C8%D4%C2%D1%A7%D7%D3,偃月学子,2013-01-26,20:20:31,上帝发话有点狠布衣很受伤
8,morning,morning,2013-01-26,20:23:52,打开网站，总是看到那些八杆子都打不到一撇的这个那个去世了的东西。呼吁大家在任何地方看到有人死了的消息都发到布衣书局来!
9,%D0%A1%B2%BC,小布,2013-01-26,20:25:05,不要抗拒美女，真碰上了好书，还是应该往回抱的
10,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2013-01-26,20:27:45,谁的网站谁作主。。。。。哈哈哈哈哈。。。。布衣书局不是花纳税人的钱建起来的。。。而是胡同自己纳税后建起来的。。。。觉得不好可以不来。。。可以不看。。。最要别按照自己的想法要求胡同。。。。哈哈哈哈。。。。。
11,%D9%C8%D4%C2%D1%A7%D7%D3,偃月学子,2013-01-26,20:27:59,作者：小布 提交日期：2013-01-26 20:25:05      不要抗拒美女，真碰上了好书，还是应该往回抱的  ————————————————————————————————东边美人西边黄河啊，爱美人是对的。
12,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2013-01-26,20:28:40,最要别按照。。。最好别按照
13,%C8%FD%C9%FA%CA%AF,三生石,2013-01-26,20:31:49,个人观点，毛宁老书应该照买，论坛可以多潜潜水就可以了。。。。
14,%D9%C8%D4%C2%D1%A7%D7%D3,偃月学子,2013-01-26,20:38:13,人家在一起流泪抹鼻涕你去说人家啥啥滴不怕被揍呀哄哄哄
15,%C4%BD%E3%A1%D5%AB%D6%F7%C8%CB,慕恪斋主人,2013-01-26,20:39:51,毛宁今年都60好几了！！还用你教啊！！！三生石多事！！！
16,morning,morning,2013-01-26,20:41:12,布衣建网站是为了哀悼么?那就干脆改名哀悼而不要叫书局!
17,%D9%C8%D4%C2%D1%A7%D7%D3,偃月学子,2013-01-26,20:54:01,我想为了网站名布衣书局建议站长送本书给楼主上帝吧o(∩_∩)o 哈哈不买就送您看楼主肿么办？
18,%C8%FD%C9%FA%CA%AF,三生石,2013-01-26,20:54:32,呵呵。。。慕恪老所言甚是。。。俺就是发表一下个人观点而已。。。俺近期也有点厌倦书局论坛，但有好书还得照买，呵呵。。。继续潜水去了。。。。
19,%B1%BC%B1%BC,奔奔,2013-01-26,21:17:49,作者：morning 提交日期：2013-01-26 20:23:52      打开网站，总是看到那些八杆子都打不到一撇的这个那个去世了的东西。-----------------------------楼主不知，其实那些讣告的主人，都是千丝万缕与读书人有联系的德高望重的人，或是读书人憎恨的的人，真要不相关的，也没人会闲的蛋疼发出来，知道吗？那个什么山什么寒的挂了，或许不会在这里出现，因为那可能是真的蛋疼。
20,%CC%F0%CC%F0%CC%C7%CA%B1%B4%FA,甜甜糖时代,2013-01-26,21:36:21,就个帖子么。
21,qszbysy,qszbysy,2013-01-26,21:43:35,炒作∩_∩
22,8213073,8213073,2013-01-26,22:10:24,一个帖子三年，这么严重啊？
23,%CC%FD%C2%AE,听庐,2013-01-26,22:16:11,有志气，像朝鲜！！！！！！！！！！！！！
24,%CC%FD%C2%AE,听庐,2013-01-26,22:17:38,但从方式上又反过来像美国家的安理会制裁朝鲜！！！！！！！！！！！！
25,%D0%A6%B0%BE%BD%AC%BA%FD,笑熬浆糊,2013-01-26,23:19:16,坐等鸟老马老评论∩_∩
