,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-06,19:52:57,《日读书志》1171：2017年7月6日大家小书12:《民俗与迷信》（江绍原先生著，北京出版社2003年初版初印。）诚甫先生此书，集其有关民俗与迷信之小品、通讯、对话而成。民俗中有迷信种种，由来尚矣。先生欲以知识揭露迷信之妄诞，必肆力揭示迷信产生及其被人信守之根源。取材极见丰富，信笔不觉沉闷。夫人生多艰，求财求福，去病去灾，倘力有不逮，未免事诸迷信，然则科学日渐昌明，迷信必将随之自然破除邪？即今恒见读《易经》而预卜，用电脑以算命，则知迷信仍在，或变本加厉也。所谓民俗者，民间久约而俗成，俗成，即难改易，非开启民智不能移易风俗也。如书中云民有嗜赌者，必欲赢，凡与输谐音者皆避之不及。粵人有姓丘者，丘俗读为输，问之贵姓，则对曰姓赢，乃欲招财，非与秦同姓也。吾乡人聚赌，有连输不赢者，竟讳曰战况为“孔夫子搬家”（尽是书），书之为输，则吾辈藏书之人所以措大，盖在一着不慎欤？可发一笑。诗曰：纷纷薄俗竟何如？之子漫谈能起予。倘使顽迷真足信，萧斋岂敢庋群书。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-07,20:11:51,《日读书志》1172：2017年7月7日大家小书13:《〈金瓶梅〉人物》（孟超先生著，北京出版社2003年初版初印。）    奇书《金瓶梅》既有恶谥，又有美誉。迅翁《小说史略》归诸“人情小说”，并云：“作者之于世情，盖诚极洞达，凡所形容，或条畅，或曲折，或刻露而尽相，或幽伏而含讥，或一时并写两面，使之相形，变幻之情，随在显见，同时说部，无以上之。”又云其书“间杂猥词”，“又越常情，如有狂疾”。开禁之前，寒斋尝得洁本，读之，亦觉书中荒淫丑恶之描写，乃社会黑暗之揭露。孟超先生是书，不事考证，就书中之刻画，作人物之剖析，凡二十七人，无不具“了解之同情”，如首论潘金莲，虽恶贯满盈，然“应该问究竟孽由谁作？淫由谁起？”综其一生，乃“不断在蹂躏糟踏之中过着生活”，“也曾挣扎过，反抗过”，然则到底杀不出封建势力之重围，因视为“千古悲剧人物”。结以《西门庆“万岁”》，西门氏即此封建势力之代表，只要“权与利萃集在一身”，则“西门家世，永固无疆”，可以骄奢淫逸，无所不为。正恐后之视今，亦犹今之视昔。作者自谓非卫道之士，亦非附庸于色情之流，所以论《金瓶梅》之人物，正以此也。故观此册，读《金瓶梅》者，益增会心；未读者亦可因知梗概。唯篇幅短小，未若王昆仑先生《〈红楼梦〉人物论》汪洋恣肆也。    诗曰：可恨可怜俱可悲，春梅秋菊竟同时。油然记起圣人句，掩卷沉吟有所思。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-08,20:31:00,《日读书志》1173：2017年7月8日大家小书14:《佛教常识答问》（赵朴初先生著，北京出版社2003年初版初印。）    吾乡玉泉寺为天下名刹，自少年迄今，余得数十往。“三楚名山”及“大雄宝殿”题字即出朴老笔下，以是夙慕其人，读其诗，又读此书。书名非徒谦㧑，实有深意存焉。序谓喜“小题大做”，忌“大题小做”，畏“有题空做”，可为一切作文不二法门。以答问（设问）形式，说佛陀与佛教、佛法及佛典、僧伽与僧人，并佛教在印度之发展、衰灭与复兴及佛教在中国之传播、发展和演变。从知佛教历史之源远流长，佛教义理之含蓄高深，佛教典籍之浩若烟海，而皆说以通俗，言简义赅。读此小书，不唯得常识通解，亦往往得其启发，可资深思，如“诸行无常、诸法无我”，“一切众生，皆有佛性，有佛性者，皆得成佛”。又如杀、盗、淫、妄语、两舌、恶口、绮语、贪、嗔、邪见，即此十恶，即非佛徒，犯之亦须不赦矣。    诗曰：少年随喜到丛林，三楚名山云路深。今取小书无尽意，春风化雨洗尘心。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-09,20:17:09,《日读书志》1174：2017年7月9日大家小书15:《鲁迅批判》（李长之先生著，北京出版社2003年初版初印。）    蒙师先文德公被于丁酉丙午之厄，频遭“批判”，余少不更事时即知其严重，故初见此书书名颇觉诧异。读之，知为批评、评论之义，时余已随先文德公阅读《呐喊》《彷徨》，读此书如遇识途老马，竟不能释手。先生以为迅翁在思想上为一“战士”，在文艺上为一“诗人”。其为“战士”，故不惮于对旧社会、旧制度、旧礼教、旧文明尖锐批评，而“鲁迅总是反抗的，所以可敬”！“别人尽管以为他的东西泼辣，刻毒，但我以为这正是浓重的人道主义的别一面目，和热泪的一涌而出，只不过隔一层纸”。时人每以迅翁不能容物，何其肤浅。“诗人是情绪的，而鲁迅是的；诗人是被动的，在不知不觉中，反映了时代的呼声的，而鲁迅是的；诗人是感官的，把握具体事物的，而鲁迅更是的”！先生以“真”而“不苟”，而又“绰有余裕”，“以从容胜”，概括迅翁艺术笔力，可谓深中肯綮；至于作品分析，《呐喊》《彷徨》而外，目《野草》为“斗争礼赞”，爱《朝花夕拾》为“美妙回忆”等等，每每一言中的。亦率真罗列、分析迅翁“失败之作”，以为农民乃迅翁特别了解深刻之所在，而其性格之“坚韧，固执，多疑”，文笔之“凝炼，老辣，简峭都似乎不宜于写都市”，自是一家之言。今日卧读，重温此书，真觉如探求灼见真知，必欲读些旧著；如了解老生常谈，所谓新书毎每皆是也。    诗曰：书名初见实堪惊，开卷即知思纵横。卧读不能浮大白，几时烹酒到咸亨？
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-10,20:09:43,《日读书志》1175：2017年7月10日大家小书16:《中国文学欣赏举隅》（傅庚生先生著，北京出版社2003年初版初印。）    文章华国，创作为难，而欣赏亦殊不易易。先生所谓“回环体味，或犹失其神髓；囫囵吞枣，奚有味于毳美？”诚如所言，而先生殚精覃思，千载之下，为古人知己。每“寻绎其情思之所寄，篇章之所蕴，美善之所存，与感人之所自；务能深入而浅出，求契作者之初心；既以明文学欣赏之例，随亦析文学创作之法”。爰作是书，开示来者。凡二十六章，“约之以感情、想象、理性、形式四者”。先生疏解之言简以精，标举之例多而当。读之，足可触类旁通。请即以形式类“对偶”一事明之。先生断曰：“诗文之对偶，一应求其工，再应避其复。”可谓一言中的。申之曰“两句对仗虽工稳，而意涉复叠者，谓为合掌”。蔡宽夫《诗话》云此病“唐初馀风犹未殄，陶冶至杜子美始净尽矣”，而先生犹谓“花径不曾缘客扫，蓬门今始为君开”等“意亦涉于合掌也”。至其“老去诗篇浑漫与，春来花鸟莫深愁”“春水船如天上坐，老年花似雾中看”等等，可谓骈偶正格。又曰“为求对仗，而不核实者，则无可取矣”。如六一居士“袖中谏草朝天去，头上宫花侍宴归”，“诚为佳句，但进谏无用草稿之理”，此将草以对花，“求其字之工，乃忘其理之忤也”。仅“对偶”一事，正反举例凡数十条；全书篇幅为小，而佐证过千。此亦老辈著述之法，吾辈所宜深思也。    诗曰：每读古人增自惭，几人可与道相参？金针可度从君乞，为举一隅能反三。
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-11,19:59:04,今日为孙犁（1913—2002）先生逝世15周年忌日，因读先生书，藉以缅怀。16:《孙犁文集（补订版第一卷·小说）》（孙犁先生著，百花文艺出版社2013年初版初印。）    余少读小说之时，文网甚密，禁忌颇多，因而过眼恨少。幸得读周大先生小说，兴趣盎然，于是旁搜穷讨，亦仅得《红岩》《艳阳天》之类。彼时电影亦依时下乡，不过《地道战》《地雷战》《平原游击队》之属，战争残酷，幼能感知。逮读孙犁先生《荷花淀》，顿觉生面别开，竟饶诗意。此篇后入教本，及为人师，口讲指划，眉飞色舞，自觉尚能感染，毎蒙诸生忆及，今余亦能当想象当日情景。此篇叙抗日战士之妻，竟一无姓名（唯一有称谓者为“水生嫂”，亦不过以嫁水生而姑名之而已），而言语、性情各见面目，当日课堂尝指挥诸生，一一系联，为之勾勒，竟栩栩如生。今日重读，仍觉人物鲜活，跃然纸上。先生创作神乎其技，炉火纯青，以此为现代小说开一流派，良有以也。    诗曰：几曾人鬼共尘寰，儿女沙场任往还。裁剪烽烟成小说，荷花淀派作开山。
6,%B9%CA%D6%BD%B6%D1,故纸堆,2017-07-12,09:37:17,戴老师这么多老先生的忌日都能记起，小的我连最亲近的几位家人的生日还不记得，真是惭愧！惭愧啊！
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-12,19:43:55,《日读书志》1177：2017年7月12日大家小书17:《宋词赏析》（沈祖棻先生著，北京出版社2003年初版初印。）    此程千帆先生据沈子苾先生讲义遗稿整理而成者，有《北宋名家词浅释》及姜夔、张炎词《小札》诸篇。子苾先生乃绝代词人，以少作《浣溪沙》“芳草年年纪胜游，江山依旧豁吟眸。鼓鼙声里思悠悠。三月莺花谁作赋，一天风絮独登楼。有斜阳处有春愁”一阕见知于汪旭初（东）先生。故有“沈斜阳”之号，“当代李清照”之誉。以词人之心讲词，自有别裁。如讲贺铸《青玉案》，结尾三句“试问闲愁都几许，一川烟草，满城风絮，梅子黄时雨”，历来传诵，作者以此被称“贺梅子”。其独特之处，先生概括为四：作者借景抒情，而所写之景，又极其鲜明而且多样，使人觉得此愁简直充塞天地，无所不在。一也。诗家有以山喻愁者，有以水喻愁者，而此以烟草、风絮、梅雨三者喻愁，不蹈袭前人，自铸新辞。二也。他人言愁，一物一喻，此连设三喻，迈越昔贤。三也。三句虚景实写，引譬之物可在目前，亦景亦情，亦虚亦实，亦比亦兴，融为一体。四也。先生厚积薄发，赏奇析疑，初窥门径以至深入堂奥均得指引。《小札》用笔简古，如白石《点绛唇》“燕雁无心，太湖西畔随云去。数峰清苦，商略黄昏雨”，先生云：“燕雁或者有知，而以无心为说；山峰纯属无知，而以商略为言：此便是夺化工处。”又云“数峰二句，最是白石本色”。皆能发人深省者。子苾先生平生遭际坎坷，方娱晚景，又罹车祸，所谓天以百凶成一词人，其是之谓乎？重读此书，曷胜唏嘘！    诗曰：芳草斜阳乐府新，风回云掩恨奔轮。绝知文字能垂世，百读遗书总动人。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-13,20:11:00,《日读书志》1178：2017年7月13日大家小书18:《历代笔记概述》（刘叶秋先生著，北京出版社2003年初版初印。）    峄莘先生此书余得中华书局初版，在故里东山公园池畔柳下读之。后又得先生题赠吴泽炎先生者，珍若拱璧。初读此书时，先生所绍介之历代笔记大多未曾过眼，故如观沧海，莫知涯涘。而此书气韵生动，略无枯燥乏味之弊。因如随导游，山阴道中，美不胜收。后按图索骥，读书稍多，而品藻衡量，必折中于先生。笔记与小说，往贤并不严格区分，目录书分部归类，亦有自乱其例者。先生此书分小说故事类、历史琐闻类、考据辩证类，可谓界畛分明，纲举目张。至于重点批评者数十，稍事涉猎者数百，无论繁简皆深中肯綮。今日重读，以书中笔记，大多庋榢寓目，故有会意。而如唐代《尚书故实》、宋代《文昌杂录》、元代《隐居通议》、明代《玉堂荟记》、清代《梦厂杂著》等仍无由致之，借读不得，掩卷怅然久之。    诗曰：柳阴初读暮春时，曾共斯编对酒卮。犹有奇篇仍未得，何年方解借书痴？
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-07-14,19:55:46,《日读书志》1179：2017年7月14日大家小书19:《旧戏新谈》（黄裳先生著，北京出版社2003年初版初印。）    所谈“旧戏”，乃传统题材或演艺之皮簧、昆曲也。书分五辑，谈演剧，谈剧目（凡二辑），谈表演名家，谈剧中人物。当时掲诸报章，皆短制。作者多年听戏，以回忆笔调说戏，故曰“新谈”，用笔名“旧史”，当有史笔在焉。如谈演技，云杨小楼一亮相“即有气吞河岳之势”，只今止于想象中得之。如谈艺事，讲洪宪议起，袁项城寿辰，置广宴，招在京名伶入南海供奉。孙菊仙、谭鑫培皆不到，九门提督江朝宗亲率城厢驻兵，挟持而行，鑫培沿途大笑。排剧时欲谭饰《新安天会》主角，此剧新编，人物有张勋、孙中山等，鑫培盛气拒绝。今日重读，如见开天遗事，而传神阿堵。书中又议及所谓“名士”捧坤角种种丑态，及今观之，恐变本加厉矣。读此书，余有憾焉。不唯在昔之表演家（如四大名旦、八大须生之属）与名票友（如溥侗、齐如山、翁偶虹、张伯驹、刘曾复、朱家溍之伦），即如吴小如、黄裳之类鉴赏家，今皆极为难得，所谓旧戏者，恐将广陵散绝矣。    诗曰：氍毹碎影已无伦，百戏牢笼旧亦新。一代风流俱往矣，枉教良夜损心神。
