,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-04,20:30:00,《日读书志》1231：2017年9月4日每年重温06:《春秋左传》（卷十八至二十：文公元年至十八年。书影：《唐宋注疏十三经》，中华书局据1936年版《四部备要》本影印，1998年初版初印。）此十八年中亦战事连绵，司空见惯，兹不赘述。有所感者，文公数卷赋《诗》引《书》为多。殽之役，秦穆公引周芮良夫之诗“大风有隧，贪人败类。听言则对，诵言如醉。匪用其良，覆俾我悖”（大雅桑柔）以自责，不替孟明。于是君子引“于以采蘩，于沼于沚。于以用之，公侯之事”（召南采蘩）赞秦穆举人之周，用人之壹；引“夙夜匪懈，以事一人”（大雅烝民）赞孟明之勤，引“诒厥孙谋，以燕翼子”（大雅文王有声）赞子桑之忠。引“君子如怒，乱庶遄沮”（小雅巧言）、“王赫斯怒，爰整其旅”（大雅皇矣）赞狼瞫“怒不作乱”，“于是乎君子”。文公与卫宁武子宴，为赋《湛露》《彤弓》（均见小雅），宁武子不辞不答，讥文公之失礼也。郑伯与文公会，子家赋《鸿雁》，文子赋《四月》，子家又赋《载驰》（鄘风），文子又赋《采薇》（馀均见小雅），言约意微，贤于外交辞令也。秦穆公卒，以子车氏之三子为殉，皆秦之良，秦人为赋《黄鸟》（秦风），君子引“人之云亡，邦国殄瘁”以责穆公。宁嬴引《商书》“沉渐刚克，高明柔克”讥阳处父，晋卻缺引《夏书》“戒之用休，董之用威”谏赵宣子。如此之类，凡数十事。余一一检之于《诗》《书》，不惮烦也，至于深宵；毎有会心，其乐何似！因欲而今而后读史见援《诗》引《书》之句，辄加笔录，欲有所观焉。诗曰：兵戈未息叹艰虞，好句联翩更起予。故实千年谁记忆，遑遑陋室觅诗书。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-04,20:30:21,图待补。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:07:07,《日读书志》1232：2017年9月5日每年重温07:《春秋左传》（卷二十一至二十四：宣公元年至十八年。书影：《清人注疏十三经》，中华书局据1936年版《四部备要》本影印，1998年初版初印。）    此十八年中仍多战伐，然平、成二字为多。元年晋求成于秦，三年郑及晋平，五年陈及楚平，六年楚人伐郑而取成而还，七年郑及晋平，八年陈与晋平、楚师伐陈而取成而还，十二年郑及楚平，十五年宋及楚平，等等。战而能平取成，不幸之幸也。十二年记晋楚邲之战至详，庄王大胜，可报城濮之仇，然能不为己甚。潘党欲“收晋师以为京观”，所以克敌必示子孙，以无忘武功。庄公曰：“夫文，止戈为武”，“夫武，禁暴、戢兵、保大、定功、安民、和众、丰财者也”，而“今我使二国暴骨，暴矣；观兵以威诸侯，兵不戢矣；暴而不戢，安能保大？犹有晋室，焉得定功？所违民欲犹多，民何安焉？无德而强争诸侯，何以和众？利人之几，而安人之危，以为己荣，何以丰财？武有七德，我无一焉，何以示子孙？”可谓明矣。晋灵公不君，赵盾、士季将谏，佯曰“吾知所过矣，将改之”，士季称善，引《诗》“靡不有初，鲜克有终”以勉，犹不改，欲杀诤臣，为赵穿所杀。郑灵公召子公而弗与鼋羹，子公怒而染指于鼎。公怒，欲杀子公，反为所弑。陈灵公通于夏姬，卒为夏徵舒所杀。谥法，乱而不损曰灵，有以也。又诵《株林》之诗。    诗曰：有初容易鲜能终，史上兴亡处处同。得胜庄王真可佩，怅然一笑几灵公。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:14:33,补图06之一
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:14:57,06之二
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:15:29,06之三
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:16:02,补07之一
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:16:27,07之二
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-05,21:17:03,07之三
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-06,21:08:46,《日读书志》1233：2017年9月6日每年重温08:《春秋左传》（卷二十五至二十八：成公元年至十八年。书影：《黄侃手批白文十三经》，上海古籍出版社1983年初版，1986年二印。）    读此数卷频见崩薨。二年宋文公、卫穆公卒，四年郑襄公卒，五年周定王崩，六年郑悼公卒，十年晋景公卒，十三年曹宣公卒，十四年卫定公、秦桓公卒，十五年宋共公卒，十六年滕文公卒，十八年鲁成公卒，姑记之。亦多战争，记齐晋鞌之战最为传神。齐顷公欲灭此朝食，晋郤克、解张中箭，流血及屦，左轮朱殷，援枹击鼓，而齐师败绩。晋厉公使吕相绝秦，通篇辞令以晋侯口吻，历数秦自穆公以来背信弃义。《古文观止》评曰：“秦晋权诈相倾，本无专直，但此文饰词驾罪，不肯一句放松，不使一字置辨。深文曲笔，变化纵横，读千遍不厌也。”今余又读一遍。《春秋》叙事书法，时而后事，此公元年、十年、十一年、十二年皆“冬十月”下无事可记（桓公元年亦有之）。十年《传》曰：“秋，公如晋。晋人止公，使送葬。……冬，葬晋景公。公送葬，诸侯莫在。鲁人辱之，故不书，讳之也。”然则记时不书事者皆有所讳与？经讳之，传亦多讳之邪？姑待考。    诗曰：谁人勇气冠三军，战鼓声声纸上闻。辞令无惭贾生笔，深宵又读绝秦文。
10,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-06,21:10:31,图2
11,%B4%F7%BD%A8%BB%AA,戴建华,2017-09-06,21:11:00,图3
