,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-07,22:24:12,《日读书志》1111：2017年5月7日秉烛读论16:《论语·季氏篇》（书影：《论语译注》，杨伯峻先生著，繁体字版、简体字版、精装本，中华书局（纪念版）2007年初版初印。）此章论三友、三乐、三愆、三戒、三畏之类，最为惊人。孔子曰：“君子有三戒：少之时，血气未定，戒之在色；及其壮也，血气方刚，戒之在斗；及其老也，血气既衰，戒之在得。”戒色、戒斗自不言而喻，《集解》引孔曰：“得，贪得。”亦中肯綮。古者三十以前曰少，而立曰壮，殆无疑义；《王制》云“五十始衰”，《曲礼》云“七十曰老”，亦不烦考证。唯是“血气”二字，古注今译似多未措意，朱子曰：“血气，形之所待以生者，血阴而气阳也。”又曰：“随时知戒，以理胜之，则不为血气所使也。”血气既连言，又加区分，最为可取。人待血、气而生者，自然而有，自然而变，未而定，定而壮，壮而衰，衰而竭，则已矣，此人之所同也。惟心则主乎血，而志为气之帅。正其心，养其气，君子之所能也。《读四书丛说》云：“孔子不言养气，然三戒既养气之法。戒色则养其元气，戒斗则养其和气，戒得则养其正气。”日居月诸，忽过少壮，而发苍苍，而视茫茫，而齿摇摇，血则天来，气可自养，三戒唯在得也矣。诗曰：老怀寂漠向谁论，难起庄生化蝶魂。懒为三高伤血坏，浩然欲养气犹存。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-08,20:20:04,《日读书志》1112：2017年5月8日秉烛读论17:《论语·阳货篇》（书影：《论语今读》，李泽厚先生著，三联书店2008年初版初印。）    阳货欲见孔子，孔子不见，归孔子豚。孔子时其亡也，而往拜之。遇诸途。谓孔子曰：“来！予与尔言。”曰：“怀其宝而迷其邦，可谓仁乎？”曰：“不可。”“好从事而亟失时，可谓智乎？”曰：“不可。”“日月逝矣，岁不我与。”孔子曰：“诺。吾将仕也。”此章之问答，或以为阳货问，夫子答；或以为皆阳货自设问，而自答。王引之《经传释词》云古辞有“一人自为问答，加曰字以别之”之例，俞樾《古书疑义举例》因之。毛奇龄《论语稽求篇》引明儒郝京山云“前两曰字皆是货口中语，自为问答，以断为必然之理”。而至“孔子曰”以下五字才是孔子语。毛氏叹为“解经至此，谓非漆室一炬不得矣。”今注今译者多从此说，余则未敢苟同于此也。夫阳货欲夫子仕，倘自为问答断为必然之理，岂自知必能折服夫子？不如逼问，令夫子答之，而使夫子自就范也。怀宝迷邦，从事失时，夫子亦以为不仁非智，货云时不我与，夫子曰吾将仕矣。朱子曰：“将者，且然而未必之辞。货语皆讥孔子而讽使速仕。孔子固未尝如此，而亦非不欲仕也，但不仕于货耳。故直据理答之，不复与辩，若不谕其意者。”又曰：“阳货之欲见孔子，虽其善意，然不过欲使助己为乱耳。故孔子不见者，义也。其往拜者，礼也。必时其亡而往者，欲其称也。遇诸涂而不避者，不终绝也。随问而对者，理之直也。对而不辩者，言之孙而亦无所诎也。”朱子言之极当。不以自为设问，则阳货之咄咄逼人，夫子之从容应对，情景如在目前也。    诗曰：道路争知狭处逢，应惊夫子故从容。当年情景窗前想，弦月如弓挂劲松。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-09,21:44:11,《日读书志》1113：2017年5月9日秉烛读论18:《论语·微子篇》（书影：《论语解读》，安德义先生著，中华书局2007年初版初印。）    楚狂接舆歌而过孔子曰：“凤兮，凤兮！何德之衰？往者不可谏，来者犹可追。已而，已而！今之从政者殆而！”孔子下，欲与之言。趋而辟之，不得与之言。《集释》引曹氏曰：“《论语》所记隐士皆以其事名之，门者谓之晨门，杖者谓之丈人，津者谓之沮、溺，接孔子之舆者则谓之接舆，非名亦非字者。”此说余以为可从，古书称接舆，至《高士传》云接舆姓陆名通，皆因《论语》而附会也。朱子云：“夫子时将适楚，故接舆歌而过其车前也。凤有道则见，无道则隐，接舆以比孔子，而讥其不能隐为德衰也。来者可追，言及今尚可隐去。”皇疏以“往者”为“已往事”，“来者”为“未至之事”。如言“事”，则固为隐之事也。《集释》引戴望《论语注》云：“往，往世也。”“来，来世也。”引《庄子》述此歌曰：“往世不可追，来世不可待。”皇疏：“已而者，言今世乱已甚也。”是往世、今世、来世，楚狂皆言及之也。《集释》引《春在堂随笔》曰：“《周官》'追师'注：'追，犹治也。'犹可追，言犹可治也。夫子删《诗》《书》，定《礼》《乐》，赞《周易》，修《春秋》，为后世法，皆所以治来世也。公羊子曰：'制《春秋》之义，以俟后圣，以君子之为亦有乐乎此也。'深得孔子之意，而皆自楚狂一言发之，楚狂之功大矣。”此虽曲园发挥而言之，亦可得而思之也。    诗曰：阿谁来接圣人舆，知有阳狂与世疏。正是周游成底事，昭垂万代诵诗书。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-09,21:44:29,图2
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-10,20:26:34,《日读书志》1114：2017年5月10日秉烛读论19:《论语·子张篇》（书影：《丧家狗—我读〈论语〉》，李零先生著，山西人民出版社2007年初版初印。）    子夏曰：“日知其所亡，月无忘其所能，可谓好学也已矣。”《集解》引孔曰：“日知所亡，日知其所未闻。”皇疏：“亡，无也。无，谓从来未经所识者也。”朱子曰：“亡，无也。谓己之所未及。”可见解“日知其所亡”，大方所同也。而“月无忘其所能”，皇疏曰：“所能，谓已识在心者也。”朱子无注。《集释》引刘宗周《学案》云：“既日有知之，则拳拳服膺而弗失之，至积月之久而终不忘，所谓学如不及，犹恐失之矣。”又引《东塾读书记》曰：“于稽其类：则知新者知也，温故者无忘也；知及之者知也，仁能守之者无忘也；择善者知也，固执者无忘也；深造者知也，自得之者无忘也；知斯二者知也，弗去者无忘也；平旦之气者知也，操则存者无忘也。”如此，恐不胜枚举也。余谓知者，学也；能者，行不违其所学也。    诗曰：腹有诗书可疗饥，老来念念怕前非。日知月习微斯子，嗟我将从何处归？
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-11,20:20:41,《日读书志》1115：2017年5月11日追怀读书    今日为夏承焘先生逝世31周年忌日，昨宵今晨因读先生书，今日又为吴小如先生逝世3周年忌日，今晚欲读吴先生书，藉以缅怀。06:《夏承焘集》（夏承焘先生著，浙江古籍出版社1997年初版初印。）    瞿髯夏翁为一代词宗。先生著述单刊数种，脍炙人口者早经拜读；自全集庋榢以来，二十年间亦次第浏览。今读略去荦荦大者，零金碎玉，自亦可珍。《宋词用典举例》取辛词《永遇乐》（京口北固亭怀古）姜词《扬州慢》为典型，一洗流弊。惯于隶事而炫博矜奇，畏于滥用而因噎废食，皆不足取，此文最见通明。《西湖与宋词》一篇，彷佛具体而微之西湖词史。自唐白傅“江南忆，最忆是杭州”以降，西湖词情历经数变。逍遥子潘阆“长忆钱塘，不是人寰是天上”，至柳七作《望海潮》，极言“自古繁华”。逮宋室南迁，杭州代汴，词客耽柳迷花，肆力铺张湖山绘幅如神话境界。国步日艰，“惟有西湖，长如太平”（陈人杰《沁园春》），而“渡江来，百年歌舞，百年酣醉”，而“千古恨，几时洗？”“天下事，可知矣”（文及翁《贺新郎》）。及南宋破亡，遗民词有写家国兴衰者，有写个人荣悴者，有写志士沉浮者，西湖乃故国象征，残山剩水，不复名胜矣。而眉山长公，在杭之日非浅，且遗爱在民，苏堤之筑，久为吟料，而讴歌西湖风景，其诗则有名篇佳制，其词则未显身手，何哉？抑“万里卷潮”不及“大江东去”耶？读次有诗咏之。    诗曰：湖山一向足佳游，儿女依然妙解讴。为问风流苏学士，黄州底事胜杭州？
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-12,21:24:52,《日读书志》1116：2017年5月12日追怀读书    昨日亦为吴小如先生逝世3周年忌日，昨宵今晨因读先生书，藉以缅怀。07:《皓首学术随笔·吴小如卷》（吴小如先生著，中华书局2006年初版初印。）    先生名父之子，名师之徒，学术一脉深传，文史淹通。平生尤于不经之谈、未安之见不稍假借，竟得“学术警察”之称，人之不能服善一至于此！今读此书，率多短制，数有号为“丛札”者，然一本订讹传信之旨，是见先生寿登耄耋，不改初衷也。以近在重温《论语》，故读《〈论语〉丛札》《〈论语〉还宜细读》十数篇，兼及字义考订、称谓嬗变者。如子曰：“无友不如己者。”脱若人人如此，朋友一伦绝矣，岂不谬哉？先生曰：“忆往昔读此章，先父为我释此句云：'这是针对初学者而言。若其学已成，正应诲人不倦，岂能因其人不如己而拒之于千里之外乎？'这是经验之谈，书本上自然找不到。”又如“不知为不知”，两千年传习，几近常谈，而先生凡两释之，以为谈何容易。此皆富启发，又有妙趣横生者，譬之先生素所精通之京剧艺术，读次每有如看好戏、大过其瘾，欲鼓掌而高声叫好也。是书余特存毛边本一，可珍藏焉。    诗曰：频惊皓首忆过庭，又读旧书窥典型。字字珠玑成绝唱，人间那复几回听？（过字读五歌平声。）
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-13,22:26:26,《日读书志》1117：2017年5月13日秉烛读论20:《论语·尧曰篇》（书影：《论语新注新译》，杨逢彬先生著，北京大学出版社2016年初版初印。）    子曰：“不知命，无以为君子也。不知礼，无以立也。不知言，无以知人也。”知礼、知言，前贤之说备矣。知命，《集解》引孔曰：“命，谓穷达之分也。”皇疏：“命，谓穷通夭寿也。”此固然也。所谓“命矣夫！斯人也而有斯疾也！”所谓“死生有命，富贵在天”，皆此之属也。然则何以知穷通夭寿即可为君子也？“可以托六尺之孤，可以寄百里之命”，“行己有耻，使于四方，不辱君命”者又何谓乎？余诵夫子之言命，有主观者，自知使命所在，所以安身立命者；有客观者，非人力所可抗拒者。君子既知使命所在，“见利思义，见危授命”，知其不可为而为之；又知命运之所限，“道之将行也与，命也；道之将废也与，命也”，求仁得仁，不怨天，不尤人。《集注》引程子曰：“知命者，知有命而信之也。人不知命，则见害必避，见利必趋，何以为君子？”夫寿夭生死，有所制而不可强者，君子小人一也。而善处得失穷通，有所为有所不为，所谓以义知命，唯君子能之也。    诗曰：我身如寄欲安归？石上松间恋落晖。知命乐天良有以，但期不与寸心违。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-13,22:26:50,图2
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-05-14,23:11:28,《日读书志》1118：2017年5月14日日就月将    余每日读书，或以事，或随缘；或新读，或重温。要之，皆从心所欲者。而有宏篇巨制，不可一读而就，不可半途而废；亦不可浮光掠影，不可情随事迁。须次第读之，以终其卷。逮毕其事，总为一日之志，然非一日之功，故命曰“日就月将”云尔。01:《读书杂志》（【清】王念孙著，徐炜君等先生校点，上海古籍出版社2015年初版初印。）    高邮王怀祖者，尚书安国之子，而尚书引之之父也。受业于戴东原，许为“君子之才竟无所不可也”，博通经学小学。又许伯申云“此子可以传我所学”，师徒父子俱为有清朴学巨擘。《读书杂志》八十二卷，系怀祖于经部之外群书所作校勘考订。《馀编》二卷，为怀祖殁后，伯申检寻遗稿而后刊刻者。史部《汉书》、子部《淮南》及集部《楚辞》《文选》向称难读，疑阙所在多有。怀祖条分缕析，聚为此编。余自往岁六月十五日得友好见赐校点本，日读多条，循序渐进，以迄于今。读时尝略施批语。以为怀祖之论，有涣然冰释者，间有可待补苴者。《淮南子·说林训》“使但吹竽，使氐厭窍，虽中节而不可听”，高注“但，古不知吹人”，又曰“但，读燕”。未知何所据而云然，下文“氐”又将何解？念孙云“但”为“伹”，则字有笔画脱落然也。“氐”隶书与“工”近似而讹，详考兹不俱引。伹者拙也，工者巧也，句“言使不善吹者吹竽，而使乐工为之按窍，音虽中节，而不可听也”，可谓怡然理顺，令人解颐。又《原道训》云“故橘树之江北，则化而为枳”，高注曰“见于《周礼》”，念孙以为“此后人依《考工记》而改之也”，据《文选》及李注云当作“化而为橙”，并云彼曰“橘踰淮而北为枳”，此言“树之江北而为橙”，正见“义各不同”。然则橘化而为枳，恐乖物理；橘化而为橙，则橙亦佳树甘果，又何以见南橘北枳之喻乎？此可待深考者也。此书具体考订而外，犹指示条例，极可思读者来者也。    诗曰：如开蹊径入荒芜，争共高明对酒壶。安得良工来按窍，深宵我亦试吹竽。
