,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-05,20:56:26,《日读书志》1201：2017年8月5日大家小书38:《野人献曝》（沈从文先生著，王风先生编。北京出版社2005年初版初印。）此编汇辑著名作家沈从文先生文物研究小品。书名非徒自谦，亦以先生平生以“乡下人”自居。“乡巴佬”相对于城中人，“说不过他们，只用拳头回答”。逮形格势禁，任人腾以口舌，不能饱以老拳，先生躲进文物世界，默默数十年，终成正果，成就斐然！《中国古代服饰研究》为荦荦大者。此编深入浅出之文，涉及锦、玉、漆、镜、笺、扇、龙凤、刺绣、挑花、染缬、陶瓷、玻璃、辇舆、车乘等等，门面广阔，不趋热门。文字清通简要，颇能引人入胜。如读其谈古玉篇，昔闻古代君子无故玉不去身，因以为理璞雕玉，成器不过珪璋琮璧之类，读此始知亦有戈矛斧钺。以礼以兵，玉皆足得其所用。重读有温故知新之乐，中心愉悦。诗曰：名物常闻奥趣深，献芹负日贵于金。平生愿作乡巴佬，星斗文章赤子心。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-05,20:57:04,暂时无法调图。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-05,20:57:04,暂时无法调图。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-06,23:20:19,《日读书志》1202：2017年8月6日大家小书39:《乡土中国》（费孝通先生著，北京出版社2005年初版初印。）    此书凡十四篇，费老据所授“乡村社会学”讲义整理而成。费老擅以乡村解剖社会，且终老一以贯之。此十四篇分论乡村社会之格局、本色、家族、秩序、伦理、道德、血缘、地缘等等。此次重温，尤感《无讼》一篇。子曰：“听讼，吾犹人也。必也使无讼乎？”不仰仗法律而能无为而治，从证乡村乃“礼俗社会”，而非“法理社会”。道德伦理之与法律制度，前者是事前经营，后者是既成补救；前者无所不在，后者需在诉讼、判决和执行中体现，揆诸日常，不免滞后。故昔年乡村故事于治囯安民不无启迪，此书名以“乡土中国”宜矣。余少年乡居，所目见耳闻者与书中描绘议论可以印证。日不闭户，人家下地劳动，而门户洞开；路送其遗，以能知所遗谁属也。鸡犬之声相闻，老死不相斗争。儿童走门窜户，可食百家之饭。虽处贫困，而以村无犯法之人为荣。偶见异议，人人得以护直责曲。如今乡村物质生活，可谓日新月异，而风尚则不无可虑可忧者，读此可深思也。    诗曰：读书恰似酒重温，惆怅乡音已不存。近水远山依旧在，儿时风俗与谁论？
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-06,23:21:27,补38图
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-07,20:40:02,《日读书志》1203：2017年8月7日大家小书40:《三生石上旧精魂》（白化文先生著，北京出版社2005年初版初印。）    怪力乱神，子所不语。然求仙封神之事，史不绝书。至于东赴蓬莱 ，西到瑶池，求药海上、炼丹山中，所求不过欲长生耳，皆与佛教之三生轮回之说大异其趣。此书研究佛教文化之汉化问题。第一部分说明小说题材与佛教故事之种种联系，第二部分阐述八仙之变换及其源流，第三部分分述几种器物（如意、拂尘、法轮等）所蕴含之特殊意义。从而论证历来中国人乐意接受外来事物，又努力将外来事物中国化。一言以蔽之：化洋为土，推陈出新。作者征引广博，又以平白如话之口吻娓娓道来，有引人入胜之妙。余亦常以浏览文言小说为消遣，书中所引大体寓目，而粗枝大叶，或习焉不察，作者探源溯流，还原其所受影响之佛教故事，始知情节并非向壁虚造也。    诗曰：一石堪惊未了情，谁知今世客中行。争能抛却人间事，不卜他生任此生。
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-09,00:13:22,《日读书志》120：2017年8月8日大家小书补    《大家小说》原出四辑，凡四十册。样行后颇受欢迎，故出版社续出多种，然并未冠以第五辑、第六辑，且屡次改版，自乱其例。而以内容篇幅观之，则不失“大家小书”之旨。因取以读之，额以“大家小书补”。01:《古典目录学浅说》（来新夏先生著，北京出版社2016年初版初印。）    自汉刘向、歆父子校书，“条其篇目”，“录而奏之”，撰《别录》《七略》，即有目录之学。目谓书名（或篇名），录指序录（今之书曰《目录》者，有目无录，谓之“目次”可也）。章实斋云：“辩章学术，考镜源流，非深明于道术精微、群言得失之故者，不足与此。”邃谷先生受业于古文献巨子余季豫（嘉锡）先生，涵泳目录学数十年。此书额曰“浅说”之“浅”，非肤浅也，乃深入浅出者。首章概说，论目录学之定义、类别、体制及作用；次章叙古典目录学著作和目录学家，可作目录学简史看；三章说目录学相关学科如分类、版本、校勘之学；末章预目录学之趋势。余尝读是书中华书局初版（1981），知其说解清通简要，举证典型详实，读此足知目录学之宗旨大要。今又重温，取榢上《四库全书简明目录》相与参观，昔年欲循此目录而读古书，真痴心妄想耳，及今思之，不觉莞尔。    诗曰：校讎载籍昔多贤，索骥按图究可怜。安得读书循目录，无多暇日惜流年。
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-09,20:24:00,《日读书志》1205：2017年8月9日大家小书补02:《启功的书画世界》（启功先生著，北京出版社2011年初版初印。）    元伯先生出身贵胄，长事名师，加以饱经患难，晚值晴明，可谓“得天独厚”，于古典文学、古文献学乃至红学、佛学诸方面成就卓著。挟其学养、识力从事于书画创作与鉴定，苦心孤诣，名重士林。余钦其治学，仰其为人，是以先生著述，单刊全集均已庋榢，次第读之，今读此册。有论创作、鉴定者，有考证名作剧迹，记述闻人轶事者。其考《兰亭》法帖，于其真伪始末在在辨章，立论不刊，其跋碑刻铭文，独具只眼。世视写经为俗书，而先生谓其“墨迹之笔风使转，墨华绚烂处，俱碑版中所绝不可见者”，赞曰“墨沈欲流，纸光可照”。其书画鉴定之议、之例，俱经验之谈，绝非久于其事者所能道也。叙郑板桥饱含深情，记齐白石充满趣味，读之有不忍释手者。    诗曰：法书冠冕考兰亭，上品莲华跋写经。竹气松风皆入妙，持将诗意著丹青。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-10,20:24:52,《日读书志》1206：2017年8月10日大家小书补03:《苏辛词说》（顾随先生著，北京出版社2016年初版初印。）    东坡稼轩之词，选本多多，而归于豪放，则几众口一辞。苦水先生说苏辛之词，令人耳目一新者，首在不同凡响，非徒以参禅语录体之独特也。说长公词，首云“吾自学词，即不喜东坡乐府”，“尔后渐觉东坡居士真有不可及处”。说《洞仙歌》（冰肌玉骨），以为“自在之作”，“饶他辛老子英雄盖世，具有拔山扛鼎之力，于此也还是出手不得”。说《西江月》（照野弥弥浅浪），云东坡少年“逞才使气”，“待到屡经坎坷，固有之美德，加以后天之磨礲”，“浑融圆润，清光大来。所来老坡豪气雅量虽然俱有，学人亦且不得草草会去，致成毫厘相差，天地悬隔”。又云“先河滥觞，厥维坡老，后来白石略能继响。然一任天然，一尚粉饰，天人之际，区以别矣”。说辛词，《贺新郎》（赋琵琶）云“读辛老子词，且不可徒看他横冲直撞，野战八方”。《沁园春》（叠嶂西驰）云“：读辛词，一味于豪放求之，固不是；若看作沉着痛快，似矣，仍未是也。要须看他飞针走线，一丝不苟，始为得耳。即如此词，一开端便气象峥嵘，局势开拓，细按下去，何尝有一笔轶出法度之外？工稳谨严处，便于清真有异曲同工之妙。笑他分豪放、婉约为两途者之多事也。”余于词人，亦曰不可以两派分。读此，颇可参观而会意也。    诗曰：选家多少说苏辛，苦水斯编语最新。坡老精神启白石，稼轩风格转清真。
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-08-11,21:47:46,《日读书志》1207：2017年8月11日大家小书补04:《中国字典史略》（刘叶秋先生著，北京出版社2016年7月初版初印。）    我国辞书编纂史源远流长，峄莘先生精通古典文献，又与役《辞源》修订，精思傅会而成此书。自《史籀》《苍颉》《急就》《训纂》肇始，我国辞书以《说文》《尔雅》《方言》《释名》各开先河，代有发展。《说文》类有《字林》《玉篇》《字汇》《康熙字典》之属，《尔雅》类有《小尔雅》《广雅》《骈雅》《别雅》之伦，馀兹不赘；韵书为其别体。近代以来，通则有《辞源》《辞海》之纂，专则有《词诠》《诗词曲语辞汇释》之编。峄莘先生此书以战国秦汉为萌芽与奠基期，以魏晋南北朝为继承与演变期，以唐宋元为建设与发展期，以明清为进化与兴盛期，以近代为演变与改革期，脉络清晰，论衡周正。一册在手，珠玉在握焉。    诗曰：说文尔雅导先河，流化千年足伐柯。一史编成亦经典，每凭此著仰巍峨。
