,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-06,20:13:40,《日读书志》1141：2017年6月6日读毛小札18:《弱水书话》（黄岳年先生著，中国文史出版社2008年初版初印。）岳年兄赐赠，毛边印数未详。《禹贡》曰：“导弱水至于合黎，馀波入于流沙。”弱水居主人黄兄岳年居张掖，即古之弱水之滨，好读书，念桑梓，既以额其居，且以名其书，自牧先生题耑，稼句先生作序。序谓岳年兄尝得《袁宏道集笺校》，三册少其一，即不惜重金为复印，集中有《再读袁中郎》一文，因而读之，爰有憾焉。袁氏吾楚乡人，以素不甚喜“公安”一派，竟未通读，览兄之文，顿感愧惧。黄丕烈“藏而能鉴、鉴而能读，读而能校，校而能刊，刊而能精”，岳年兄作《读书在黄丕烈那里》，叙其藏书故事，得其读书精神，足以兴发感动。言及近现代书人多矣，兄喜苦雨斋主人冲淡素雅之文，略有同好；更有数篇文字论及孙犁先生，更获我心。孙先生激赏古人“重读书，重旅行，重交友，重唱和、互相鼓励、互相帮助，共同提高”，岳年兄特为拈出表彰，亦必先自躬行焉。诗曰：愧君放笔说中郎，更羡荛夫俱姓黄。犹喜书家风味美，知堂读罢是耕堂。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-06,20:14:11,图2
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-06,20:14:46,图3
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-07,20:05:53,《日读书志》1142：2017年6月7日读毛小札19:《百喻经译注》（周绍良先生译注，中华书局2008年二版一印。）    此书毛边，唯此一册。    绍良先生精通佛理，故译此经。原作《百喻经今译》，厥后稍易名称，入《佛教经典译注丛书》中。《百喻经》共九十八篇寓言，加卷首引言与卷末偈颂，概称“百喻”，佛言“汝等善听，今为汝广说众喻”。先讲“愚人”故事，每云“世间之人，亦复如是”，“一切外道，亦复如此”；再说佛理，开示智慧。如《愚人食盐喻》，言“昔有愚人，至于他家，主人与食，嫌淡无味。主人闻已，更为益盐”，而愚人自念“所以美者，缘有盐故。少有尚尔，况复多也？”“便空食盐”，竟“返为其患”。又如《伎儿作乐喻》，有“伎儿王前作乐，王许千钱。后从王索，王不与之”，以“汝向作乐，空乐我耳；我与汝钱，亦乐汝耳”。因云“世间果报，亦复如是。人中天上虽受少乐，亦无有实，无常败灭，不得久住，如彼空乐”。又如《贫人欲与富者等财物喻》，云“昔有一贫人，有少财物，见大富者，意欲共等”，而“以不能等故，虽有少财，欲弃水中”。因云“世间愚人，亦复如是”，譬犹求道者，见不能与高德者比，便欲罢道。此真广譬曲谕，有发人深省者。鲁迅先生极称此经，曾两度出资助印，并亲撰题记，有以也。    诗曰：世间那得少愚氓，广譬善听缘一经。如是我闻开智慧，穷途仿佛醉中醒。
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-07,20:06:27,图2
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-08,19:56:21,《日读书志》1143：2017年6月8日读毛小札20:《孔子传》（钱穆先生著，九州出版社2011年初版初印。）    《钱穆先生著作新校本》精装毛边共十册，此其一，毛边印数未详。    尝读宾四先生《论语新解》及《先秦诸子系年》，而未尝措意此书。以少小读《中华活页文选》而读司马子长《孔子世家》，以为孔子生平大略详于斯篇矣。《序言》略谓史迁“一则选择材料不谨严，真伪杂糅。一则编排材料多重复，次序颠倒。后人不断加以考订，又不断有人续为孔子作新传，或则失之贪多无厌，或则失之审核不精，终不能于《孔子世家》以外别成一惬当人心之新传”，故作此书。其最大宗旨，一本孔子自述所谓“学不厌、教不倦”者，“而寻求孔子毕生为学之日进无疆，与其教育事业之博大深微，而政治事业次之”。以《论语》为中心，博采《左传》《世本》《孟子》《史记》《孔子家语》及《礼记·檀弓》诸篇，详加考辩。如《檀弓》篇载孔子“歌曰'泰山其颓乎，梁木其坏乎，哲人其萎乎'，子贡闻之，趋而入。子曰：'予畴昔之夜，梦坐奠于两楹之间，予殆将死也。'盖寝疾七日后殁”。先生按：“《论语》载孔子言，皆谦逊无自圣意，此歌以泰山、梁木、哲人自谓，又预决其死于梦兆，亦与孔子平日不言怪力乱神不类，恐无此事。”此书多援引考证，与今之传记类多发挥想像迥然不同，行文或少趣味，此昔贤所谓“信言不美，美言不信”欤？    诗曰：上天从未丧斯文，仿佛世家今复闻。正多文献资考信，一编论语散缤纷。
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-08,19:56:42,图2
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-09,20:01:14,《日读书志》1144：2017年6月9日追怀读书    今日为蒋天枢先生逝世29周年忌日，因读先生书，藉以缅怀。11:《楚辞论文集》（蒋天枢先生著，陕西人民出版社1982年初版初印。）    余以读陈寅恪先生《寒柳堂集》及蒋编《陈寅恪先生编年事辑》而知秉南先生；逮陆键东《陈寅恪最后二十年》刊行，先生之学深品淳，尤笃于师门风义，为士林钦仰焉。先生出清华国学研究院，自序谓“壮岁颇知向学，有志于史”，而雅好《楚辞》，虽寅恪先生有“温公书不载屈原事”之诫，先生竟成《楚辞新注》一书，有长篇《导论》，人有所质疑，先生答而辩之，得为《导论二》，俱载此集。夫故国人事，屈子之赋有比兴而未明言者，史迁之传有欲明言而文献不足征者，向来聚讼纷纭。余少读之时，蒙师先文德公但令熟诵，心知大意，而辨章考镜，一俟异日。先生邃于史，故集中数文讨论屈赋种种问题之外，尚有《屈原年表初稿》。虽具体论断不必苟同尽同，而以知楚国国史与屈子心史可互为启发，能相得益彰，则属不言而喻者也。    诗曰：少小灯前诵楚辞，最难疑义互参差。故乡芳草应犹在，一读公书有所思。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-10,21:34:54,《日读书志》1145：2017年6月10日读毛小札21:《来燕榭书跋》（黄裳先生著，中华书局2011年初版初印。）    此书毛边印制百册，编号发行，唯此一册为号外别藏。    来燕榭主人雅爱古籍 ，收藏巨富。日人侵迫，百兴俱废，作者慧眼聚书；胜利之来，馀兴复炽；而浩劫之中咸遭抄没，拨乱而后珠还，诚不幸中之大幸也。遂董理旧藏，作为书跋。正编三百一十三部，补编一十五部，宋残元椠之外，多明刻清雕，明则多嘉靖刻本，亦有明初及隆万间故物，又有稿本钞本铜活字本如干，皆堪艳羡。如璜川吴氏精钞《五国故事》二卷，作者自谓一向“留心南唐遗事，收书不少”，此为嘉善之尤者。又有《埤雅》二十卷，为顾贞观旧藏。此雅宋人陆佃撰，依《尔雅》体式，止有释鱼、兽、鸟、虫、马、木、草、天八类，《四库提要》云：“其说诸物，大抵略于形状，而详于名义，寻究偏旁，比附形声，务求其得名之所以然，又推而贯通诸经，曲证旁稽，假物理以明其义。”作者不治训诂，而坐拥此书。观此二部书影，精彩非常，中心如醉矣。    诗曰：书林尤物未成尘，墨色古香俱袭人。如过屠门聊大嚼，何妨人笑老天真。
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-06-10,21:35:18,图2
