,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-07,19:43:49,《日读书志》1081：2017年4月7日丙申回眸92:《程应璆先生编年事辑》（虞云国先生著，上海人民出版社2016年11月初版初印。）此陈公子善先生赐赠者。程应璆先生为著名史学家，尤邃于两宋，兼通文学，诗词并工。先生负笈西南联大，乃闻一多和吴晗先生得意门生，又与沈从文先生过从甚密；因缘际会，与二十世纪文史两界著名学人多有交际唱和。平生数值患难（抗战、内战、反右、文革），其跌宕起伏之人生遭际，跨界多元之社会关系，不啻为特殊时代之历史缩影。本书广征博引，资料至为翔实，举凡先生著作、自述、日记、信函、诗词以及“文革交代材料”以及他人唱和、缅怀之作等等，无不采择，逐岁纪事，并附编年诗文目录。先生关怀家国，虽迭经坎壈，不改初心。即使在“文革交代材料”之中，亦不讳言所追求者仍乃“资产阶级”之民主与自由！又究心学问，纵在困境穷途至于鬻书度日，亦潜心思索。参与主持点校二十四史之《宋史》，创获尤多。昭雪之际垂垂老矣，亦奋发有为，著述不辍，作范仲淹、司马光《新传》；作育人才，立雪程门者皆得深造。余读此书，知先生事略而外，又诵先生诗词。尝回故里，见“山川殊不异，井邑非故时”；方际明时，叹“白首有情心尚赤，青春无计水东流”。感慨低回，仿佛与先生同其歌哭也。先生日记，题有《丙申日记》《严谴日记》《文革日记》《复出日记》等，皆与时事相应，堂而皇之，不稍回避。《事辑》以先生本事为经，以同时学人为纬，读之能观一代（非一人）知识分子之心灵史也。诗曰：人间何计卜行藏，乱世沧桑供断肠。不叹流年真似水，拼将一老挽颓阳。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-08,22:46:54,《日读书志》1082：2017年4月8日丙申回眸93:《琼琚集》（韦力先生著，海豚出版社2016年12月初版初印。）    韦力先生为藏书名家，声闻远播。此集汇辑作者所得赠书之书影、叙录而成。《诗》曰：“投我以木瓜，报之以琼琚。”书名盖反其意而用之，礼人之赠也。笺纸、法书、贺卡、笔筒等不之计，得书三百七十馀册（套）。书影彩印，雅美非常。叙录或记赠受者之友谊及交往故事，最为好看，据此又可推知始末。书亦有非作者所赠者，或编辑，或友人，皆明原委，足征“以书会友”之谊。此三百馀书之中，余所获赠或藏读者尚不足什一，正见爱书者同，而所读者未必无异也。今读此书，可以豁眼界、广见闻，故何乐不为哉？    诗曰：庋榢堆床富五车，翩翩来赠尽琼琚。人间乐事知多少，最是关情好读书。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-09,21:10:51,《日读书志》1083：2017年4月9日追怀读书    今日为吕叔湘先生逝世19周年忌日，故读先生书藉寄缅怀。03:《语文杂记》、《未晩斋语文漫谈》（《吕叔湘全集》第六卷，辽宁教育出版社2002年初版初印。）    吕老晩岁，毎以大手笔写小文章，厚积薄发，深入浅出，要之以高屋建瓴，实事求是。先生关注语文社会现象，“看报读书，忽有触发，于是欣然命笔”，“海阔天空，无拘无束”。如“悬殊”一词，“悬”是远，“殊”是别。悬殊义即差别甚远，而报章每言“悬殊很大”，又曰“差别悬殊”，皆重复累赘，不足为训。而今皆见惯不怪，甚或习非成是矣。先生暮年，纵入医院，亦读书不辍。如读元曲《墙头马上》，见元人口语“哥哥”与“爹爹”同指父亲，而唐朝旧俗即有呼父为兄者，《日知录》《陔馀丛考》皆言之然，而未明所以然也。先生怀疑此与北方某些民族长子继承亡父妻妾(生母除外）习俗有关，并寄望于历史及民俗学者深考。今先生辞世垂二十载，迄无回应。余因思王昭君初嫁呼韩邪单于，生一男伊屠智牙师；呼韩邪亡，其长子复株累单于复妻王昭君，生二女。复株累于伊屠智牙师本为同父异母之兄，今则为继父矣，则伊屠智牙师呼之为兄邪？呼之为父邪？呼之为兄为父皆可邪？如哥哥、爹爹同指然。先生尝主持编纂《现代汉语词典》，于词义考订自属高明。“黎明”一语，词典有释为天将亮时，有释为天方亮时，有释为天将亮或天方亮时，有释为天将亮和天方亮时。先生著文字，为图示，精益救精。余因曰黎为黑，明为亮，黎明为自天未亮至天大亮之间也。读先生书，每有得，亦有思也。    诗曰：浮白深宵是旧醅，公书重读每开怀。黎明落照相辉映，想见春风未晚斋。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-10,20:17:34,《日读书志》1084：2017年4月10日丙申回眸（有书于丙申年出而余初未得，而后又蒙作者惠赠者，亦有书非丙申年所出，而于是年蒙作者赐寄者，今亦并读之。）94:《书丛探幽集》（韩三洲先生著，北岳文艺出版社2016年1月初版初印。）    丁酉正月豕日，余往访韩公，公赐此册，归途浏览，今日重读。公藏书，作读书笔记，汇而成集。文多闻人轶事，故曰“幽”；发掘臧否，故曰“探”。立论不苟，非猎奇；文笔简古，无枝蔓。如黄季刚先生，世人少知其学问大节，每以传闻细故为谈助。《话说“书淫”黄侃》乃读季刚先生日记所作，季刚先生设帐南北各大学，移砚之际，毎以书俱，至筑量守庐以储，“深感藏书之不易，私喜居此乱世，尚能略致群书，供予闭门诵读也”，而竟散于战乱，伤哉。世人毎以老于世故于槐聚翁颇有微词，此书引刘再复回忆云未尝见如默存先生看人看世界之清醒者。不曲学阿世，不随波逐流，“既明且哲，以保其身”，有以也。余素钦朱德熙先生学行，此书言及先生与高明先生之“恩怨芥蒂”，断云“学问上堪称博大精深如朱德熙先生者，人性上亦犹存幽暗之处，正如西谚所言，人人心中都藏有魔鬼”；又以朱先生晩年对此有所反思，有所懊悔，仍当以“不以一眚掩大德”之古训论之。要之，本书引述议论，可以正大光明以蔽之也。    诗曰：可怜乱世作书淫，贤者居然避世深。一眚自难伤大德，公书每读故沉吟。
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-10,20:18:00,图2
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-12,00:26:35,《日读书志》1085：2017年4月11日丙申回眸95:《吴中好风景》（王稼句先生著，凤凰出版社2015年初版初印。）    此稼句先生赐寄者，余爱其文字，以篇幅过长，故时时读之，今日毕。 夫物华天宝，人杰地灵，姑苏为余最向往、留连、怀想之所。少读《醒世恒言》，知太湖之中山之大者美者竟名曰“洞庭”（西山、东山），不胜惊诧。稍长，诵贺方回《青玉案》两词，皆有凌波横塘之句，又不胜企羡。逮履之所及，又以不能遍游为恨。先生此书，文分六章，曰山水形胜、长河落日、乡市风情、园居胜概、祠庙馨香、寺观钟鼓，凡五十二题，洋洋五十万言，而《后记》犹以“篇幅所限”，未能尽兴放笔，“漏脱之多，亦本在意料之中”。先生文字高古，又旁征博引，目不暇接，自非闲翻泛览者所乐见，而足以令爱慕者深爱之也。先生文章，不取悦于俗者如是。虽肆力铺张吴中风景之胜，又与旅游指南或名胜词典迥异其趣，的是山川之美与文笔之雅相映生辉者也。    诗曰：君书一读慕横塘，欲到吴门泛酒觞。遥想西山今夜月，几多亭榭浸湖光。
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-12,00:26:56,图2
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-12,20:08:20,《日读书志》1086：2017年4月12日丙申回眸96:《拾遗小笺》（陈子善先生著，海豚出版社2014年初版初印。）    此子公丙申秋赐读者，当时拜览，今又重读。笺分三编。上则为公主持“海豚书馆”之“文艺拾遗”系列诸书所作弁言，以随各书先后寓目而早经拜读，兹不赘言。中则有关傅雷先生作品及佚文，初读于此稍多用心，今则浏览而已。下则记施蛰存先生嘉言懿行及交游旧事，今读所尤有不能已于言者。蛰翁经百年沧桑，半生蹭蹬，而优游于艺，宠辱不惊。平生治学，晚年自喻为洞开四窗：东窗为文学创作，南窗为古典文学研究，西窗为外国文学译介，北窗为碑版整理。子公妙笔记与翁生前交游，栩栩如生。综观数文，有回忆、侧记、评介、追悼、序跋等等，而“特立独行”、“真率可爱”二语最见蛰翁精神，与子公尊师钱老谷融先生所赞蛰翁重性情、讲趣味，乃彻头彻尾之自由主义者，可谓异口同声，异曲同工。子公文字又得史笔之妙。关于鲁、施有关《庄子》《文选》之争，子公略谓迅翁从一贯立场出发，反对青年潜心古书，而蛰老所关心、追求者，乃如何融合传统文学之美文属性与新文学之个性自由精神，从更深层次观察，应无根本分歧，此最是持平之论。而林贤治先生著《鲁迅的最后十年》则有失公允，林著又称蛰翁尝为国民党当局“书报检查官”，子公冠以“莫须有”罪名，毅然辩诬雪谤，毫不假借，非直笔而何？    诗曰：笔底波澜忆昔游，传神写照北山楼。窗开四面皆生面，荣辱无关任自由。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-12,20:08:59,图2
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-04-13,20:22:54,《日读书志》1087：2017年4月11日丙申回眸97:《书缘琐记》（吴兴文先生著，海豚出版社2015年初版初印。）    此吴公兴文先生于丙申仲秋赐赠者。余与先生相交有年，烹茶煮酒之际，所谈唯书人书事。余尝以“二北三书”慨叹于公，盖言公往来于台北、北京之间，平生以藏书、编书、著书为乐事也。是书所以名“琐”者何？近八十篇宏文实皆短制，多千字文也；所记与书结缘之事亦似无荦荦大者，而于细微之处见其精神。公自云喜好涵蕴丰富之类，如藏书票、插图本、绝版书之伦，必是积少为多，聚沙成塔，而为大观。公所引所评之书又多非常人耳熟能详者，片言只语，实多可爱。如引沈春泽序文震亨《长物志》云：“挹古今清华美妙之气于耳目之前，供我呼吸；罗天地琐杂碎细之物于几席之上，听我指挥；挟日用寒不可衣、饥不可食之器，尊冽拱璧，享轻千金，以寄我之慷慨不平。非有真韵、真才与真情以胜之，其调弗同也。”噫，微斯人，吾谁与归？    诗曰：爱书何处少奇缘？懒向东风叹逝川。借问诗情定何似，茶痕酒渍润蛮笺。
