,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-03,23:06:26,《日读书志》1291：2017年11月3日随缘杂览15:《石语》（陈衍石遗说，钱锺书默存记，载《钱锺书集》中，三联书店2011年初版初印。）近观诗话，有言及陈石遗者，偶念此书，因而重温。民二十一年初夕，石遗老人招默存先生度岁，谈䜩甚欢。夫晤言一室之内，面对后进，老辈得以放言无忌，笔录口吻毕肖，盖纪实也。石遗固一代诗雄，于侪辈不轻许与。如严几道、林琴南、冒鹤亭皆石遗知交，亦不稍假借，讥为空疏。尤是畏庐云“解经须望文生义，望文生义即以经解经之谓”，又云“读经有害古文”，刺之以“荒谬绝伦”。他如云黄晦闻“才薄如纸”，陈散原“老去才退”，叶长青“浮躁不实”，陈柱尊“大言不惭”之类，皆语出严重，耸人听闻，然总谓“为学总须根柢经史，否则道听途说，东涂西抹，必有露马脚狐尾之日”，则诚哉斯言，学林当共韪之也。老人又云“章太炎黄季刚师弟，皆矜心好诋，而遇余均极厚”，此恐石遗一厢情愿耳。又谓默存先生“诗才清妙，又佐以博闻强志，惜下笔太矜持。夫老年人须矜持，方免于老手颓唐之讥，年富力强时，宜放笔直干，有不择地而流、挟泥沙而下之概”，此翁不老，数赠默存先生诗，有句云“青眼高歌久，于君慰已奢”，又可谓老眼如炬矣。诗曰：谁谓望文能解经？时贤倾服似晨星。士林代有良材在，难得先生一眼青。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-04,23:21:02,《日读书志》1292：2017年11月4日随缘杂览16:《当乐山遇上珞珈山—老武大西迁往事》（张在军先生著，江苏凤凰文艺出版社2015年初版初印。）     旧烟新烽，江山沦陷。是书记武汉大学抗战期间西迁乐山悲壮故事。先师李格老正问学授业于其间，可曰与武大乐山时期相始终。先师受业于刘博平（赜）先生，师弟并在武大“五老八中”之列。博老时主中文系，与长文学院之刘弘度（永济）先生并称二刘，博老为黄季刚先生大弟子，邃于小学；弘老出况蕙风先生门下，精于文学。万方多难之际，博弘二老抱哀郢之志，以学术研传报国。是书记博老授业“精神抖擞，意气风发，滔滔不绝”，而令学子“如沐春风，深受教益”。又记弘老讲授词曲时“感情深邃，眉飞色舞，鞭辟入里，引人入胜”。弘老以幼女不解阿翁老大而日日读书，作《鹧鸪天》一阕云：“识破从来四大虚，一编遮眼亦蘧蘧。可怜赢得娇女笑，者大阿爷尚读书。秋树静，夜灯孤，几曾仙字换凡躯。惠施毕竟尘间土，辛苦年年载五车。”可以想见风神矣。又，博、弘二老，用心于旧学，于新学固多异议，此亦当时学术常态也。是书秉史笔，多会心，取材宏博，剪裁合度。余字字读之，而于素所钦仰，尤所关心云。    诗曰：沧海横流万国鱼，江山迢遞且移居。犹然蜀道青天外，不辍弦歌载五车。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-05,23:12:13,《日读书志》1293：2017年11月5日随缘杂览17:《历史地理学四论》（侯仁之先生著，中国科学技术出版社2005年初版初印。）                余少读之时，蒙师先文德公尝与讲论《水经注》，以爱其山川纠纷、文字优美，而渐喜读舆地记游之书。久之，于疆域之盈缩、沿革及行政区划之置废、并析稍获知闻，以是知仁之先生邃于历史地理之学，读其书，则知其治学范围固然包含而已超越沿革地理，并有历史自然地理、历史人文地理及区域历史地理之分支，揆之于古今，则一言以蔽之，曰“变”。昔者纪晓岚学士自署河间献县，而其里第则今改属沧州；今者张中行先生自谓身出香河一农家，而其祖居则今归天津武清。先生讲述历史地理学之理论与实践，及其与传统沿革地理之联系与区别，论断明晰，而文字简约，颇便于读。尤是先生于北京之历史地理，诸如山川园林、城邑宫阙、河湖沟渠、寺庙陵墓等等，莫不了如指掌。而先生所探赜索隐，于今之城建规划及改造特多裨益。余又爱观历史地图，于我河山之变尤所注意焉。    诗曰：曾经纸上阅沧桑，兴废相寻总可伤。欲裂蛮笺写衷曲，关河寸寸系肝肠。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-06,22:59:04,《日读书志》1294：2017年11月6日随缘杂览18:《近代藏书三十家》（苏精先生著，中华书局2009年初版初印。）      苏精先生尝供职台北“中央图书馆”，每见图书钤印累累，深感流传有绪，而聚散无常。因详考近代藏书家生平故事与收藏特色，得自盛宣怀至刘承幹，凡三十家，近代藏书巨擘，大体在焉。此增订本订补原书之外，增加《藏书家周叔弢》一篇，书名仍旧。此三十一家余本耳熟能详，初读用心，今则浏览。重读重在《抗战时期秘密捜购沦陷区古籍始末》附录一篇。我国私家藏书，江南向为重镇。逮国土沦陷，兵燹之馀，日人、伪满及美国各大学，均肆力掠购。有志之士蒋复璁、张寿镛、何炳松、郑振铎、叶恭绰、徐森玉六子筹募巨款，冒险沪港，先后得贵池刘氏玉海堂、江宁邓氏群碧楼、嘉兴沈氏海日楼、庐江刘氏远碧楼、顺德李氏泰华楼及邓氏风雨楼、吴兴刘氏嘉业堂及张氏适园、常熟瞿氏铁琴铜剑楼古籍善本钜万，或藏匿沪上，或运抵重庆，或滞留香港。滞留者后落入日军魔掌，被掠至东京，胜利后方归故土。1949年渡海迁台。琳琅万卷，纸润墨香，海岛生辉矣。此文记其始末至详，烽火连天，荆棘遍地，为此图籍，前贤艰险备尝而义无反顾，读次不胜景仰唏嘘也。    诗曰：烽烟华屋已倾颓，肯使图书付劫灰？是处河山存国宝，海隅未必赋归来。
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-07,20:22:47,《日读书志》1295：2017年11月7日随缘杂览19:《本无畛域》（葛兆光先生著，海豚出版社2010年初版初印。）      此书汇辑作者书评七篇，余尤注意所评《沈曾植年谱长编》《吴宓日记续编》《陈寅恪书信集》等。诸子皆处新旧嬗变之际，必有待后人“理解之同情”者。若寐叟，清帝逊位，辜鸿铭往访，问“事已如此，我辈将如何”，沈氏泪流满面，而曰“世受国恩，死生以之，他非所知也”。此后积极参与张勋复辟，《复位奏稿》《行政大略》均出其手笔。然则政治上开历史之倒车者，又能预学术之新潮。如言罗振玉《殷墟书契》果能为学界所理解，“决不在吾国现在之儒流，而在他日异邦之学者”。彼素与缪荃荪、王国维、傅增湘、张元济、陈三立、朱祖谋等巨子交游，所往来讨论者有古音学、宗教史、边疆舆地与域外新学，“务为前人所不为”，既承乾嘉之馀绪，又开治学之生面。亦古亦今，亦旧亦新。作者云如不以王朝认同为尺度，而以文化认同为基础，则于近代人物之判断，可不啻霄壤也。要之，臧否识鉴不能以今律古，强人就我也。    诗曰：任情稽古转茫然，每叹今人议往贤。风骨如斯新复旧，幽微心事待谁传。
5,%BD%F0%CB%DA%B5%C0%C8%CB%B9%CB%D6%D9%E7%F8,金粟道人顾仲瑛,2017-11-08,02:38:18,清朝遗老其实数量也不少，有专书研究
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-08,23:57:56,《日读书志》1296：2017年11月8日随缘杂览20:《占卜的源流》（容肇祖先生著，海豚出版社2010年初版初印。）     先民临事而惧，以占卜定吉凶，决狐疑。本书论占卜源流，自殷墟甲骨文卜辞至《易》乃至无甚足称之杂卜，所叙甚详，兹不赘述。尤所感者，以《易》初为占卜之记录，自孔子晩而喜《易》，读《易》而韦编三绝，秦汉间学者尊孔崇儒，《易》之占术渐趋哲学化。而魏晋以来，《易》完全脱离占术地位而成为哲学，而历代解《易》者各就所见所思而逞其说，言人人殊，讫难定谳。余亦多读《易》家之言，而止于“畏天命，畏大人，畏圣人之言”而已矣。每感帝力之大，人力之微，故不免悲天悯人之怀也。又感近代以降，或言及占卜，辄蔽之一言曰迷信。先民倘事在必为，往往不知所以为，决疑参半而不能定，乃问天买卦，天所谓吉凶不过使为不不为之间获一心理暗示而已。千载之后，人力何啻千万倍于古人，甚或扬言人定胜天，而犹有求签问卦乃至电脑算命者，是又在占卜下之下矣。    诗曰：应怜龟策决行藏，每叹人间歧路长。祸福兴衰成世界，犹馀孤咏向苍茫。
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-09,23:03:15,《日读书志》1297：2017年11月9日随缘杂览21:《百岁溯往》（姚奠中先生口述，张建安先生采写，三联书店2013年初版初印。）     此百岁老人姚奠中先生口述回忆录也。先生出晋南稷山，早承庭训，而求学艰难。后入无锡国学专门学校，问学于唐蔚芝（文治）先生，旋转苏州国学讲习会，受业于章太炎先生，精《诗经》《楚辞》及《庄子》，工书法。平生饱经忧患，而治学不辍，诲人不倦。尝告诸生云“以正己为本，以从义为怀，以博学为知，以勇决为行，以用世为归。不苛于人，不阿于党，不囿于陋，不馁于势，不淫于华”。书法力避俗、弱、媚、软。《一些历史人物》篇臧否持中，能发人深思。毕生以传播国学为己任，晚年设立“姚奠中国学教育基金会”，足为模范。先生能诗，如辗转半个中国后，尝回乡，至黄河禹门口，即兴口占：“不见家山十二年，归来满目尽凄然。烝民乃立思神禹，古度斜阳哭逝川”。百年沧桑，而晩照光明，先生可无憾也。    诗曰：溯往百年忧患多，平生应叹未蹉跎。流年似水文章在，不必临川哭逝波。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-10,20:19:53,《日读书志》1298：2017年11月10日随缘杂览22:《训诂论丛》（王静芝等著，台湾中国训诂学会、辅仁大学中文系所主编，台湾文史哲出版社1994年初版初印。）    韩老三洲先生知余习训诂，故以旧藏赐赠。 此台湾第一届中国训诂学学术研讨会论文集，作者除彼岸学者之外，亦有大陆王宁、香港黄坤尧诸先生。今读陈新雄先生《训诂方式中义界与推因之先后次第说》。黄季刚先生讲训诂方式，作者闻诸本师林景伊（尹）先生者，以互训、义界、推因三者为次，见诸黄耀先（焯）先生记季刚先生口述《文字声韵训诂笔记》亦复如是。而齐佩瑢先生《训诂学概论》以及多种专著（此不一一）或名称不同，或次第有异。本文详加罗列，精心比对，条分缕析，以证季刚先生学说为是。又读李添富先生《〈周南·卷耳〉“采采”意象试释》。《卷耳》有“采采卷耳”句，《毛传》：“采采，事采之也。”《集传》：“采采，非一采也。”故屈万里先生《诗经诠释》谓“采采，采而又采也。”王静芝《诗经通译》云“采采，采之又采也。”作者以《芣苡》有“采采芣苡，薄言采之”，“釆采”与“釆之”重也，而《蒹葭》云“蒹葭采采”，与“苍苍”“萋萋”同类，又详论《诗经》中三百五十九叠词（凡六百四十七处）之应用皆形容词性。清人马瑞辰《毛诗传笺通释》以“采采”与“萋萋”、“苍苍”“皆谓盛也”，已先言之也，而此文资料尤称丰富。他文无论谈训诂理论或讲训诂实例，皆可观。而廖栋梁先生《试论〈洛神赋〉的诠释》乃文学论文，与训诂无涉，孱入此文，未免自乱其例也。    诗曰：从来学问在求真，未必推陈尽出新。训诂期能固邦本，馀杭一脉到蕲春。
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-11-11,21:06:47,《日读书志》1299：2017年11月11日随缘杂览23:《余英时访谈录》（陈致先生访谈，中华书局2012年初版初印。）    此书汇辑对余英时先生访谈记录而成，陈致先生访谈者三，附刘梦溪先生访谈者一。纵论学术而外，又多月旦人物。从知英时先生治学严谨，讨论学者则宅心仁厚，持论公允，如论冯友兰先生即是。获书之时，得快读之乐，今日重读，重在论钱锺书先生者。默翁名满天下，谤亦随之。叶遐庵先生尝批评钱著“散钱无串”，时贤道及，多止于博闻强志，过目不忘之类，或以未建立学术体系为憾。英时先生则披露，默翁赠以《管锥编》尝自云著书“上承王应麟《困学纪闻》和顾亭林《日知录》”，英时先生许为“老实话”，且云默翁能广引西方经典为大规模中西比较，“贡献超过古人”。谈及东西方知识系统问题，英时先生云《管锥编》所论自《周易》至于《全上古秦汉三国六朝文》，形式上完全遵循中国传统经史子集分类法。而西方知识体系诚能于形式上“图个方便”，分析上“提供概念”，“看问题打开眼界”，但“真正做学问”之“功夫功力”，要看“国学基础”。故旧学深厚之学者如陈寅恪、汤用彤、钱穆、傅斯年、顾颉刚等人著述，在彼西方学者“一直是受重视”，“而改学西方那套以后，反而不受重视，也很少名著了”！此真能发人深省者。英时先生又云默翁“自爱”，不好交游，“事实上他很有隐士的一面”；又记默翁时有风趣谈话，“不是炫耀渊博，而是对他自己的独立精神正式表态”，此均可谓知言也。    诗曰：从来白雪少知音，那知贤者避世深。为问风流谁与共，厚斋而后是亭林。
