,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-02,20:14:30,《日读书志》1351：2018年1月2日签名本巡礼11:《黄天树古文字论集》（黄天树先生著，学苑出版社2006年初版初印。）近世以降，契文由疑转信，研契渐成显学。创始固非易易，而创新尤见愈进愈难。黄先生于殷墟刻辞精研有素，此即论文合集，皆有关于卜辞之考释、断代、补说、辨误、缀合，兹不赘；亦有通论之篇，如论甲骨文“有声字”之构造。所谓“有声字”者，偏旁中有声符之字也。许叔重著《说文》，为“六书”定义举证。辩识契文之初，自非《说文》难得从事；而辨识既多，学者以祭酒未尝见甲骨，又每愈突破“六书”之藩篱为能事。六书中转注、假借固难定谳，而舍此他图，虽别开蹊径，初未始不谓避难就易也。唐立厂（兰）先生首创“三书”说，学者称之，而以名称之简单化以应文字孳乳变易之复杂性，数十年以来未必能解决问题。许祭酒言“形声”，《说文》中自多“省声”“亦声”之字，未别立名目，不过于普遍性中寓特殊性而已矣。所谓“亦声”者，以声符有义言之，自属会意；以声符表音言之，仍属形声。今比拟言之，《诗》有赋比兴，各以其异而别立其说，若“赋者敷陈之辞也，比者喻类之辞也，兴者有感之辞也”之类，然诗之一句，如“关关睢鸠，在河之洲”，若诗人适所见而云然，是赋；以王睢“生有定偶而不相乱，偶常并游而不相狎”以方淑女君子，为比；用于章首，“先言他物以引起所咏之词也”，乃兴。然则赋、比、兴不可取法乎？各随其宜可矣。藉譬于古文字之研究，余以为宜循名责实，厘定古人名词之涵义，倘匆遽别立名目，而结论未必不与古人雷同，如古今字、累增字实即古人所谓“转注”也。诗曰：谁举三书换六书，归同何若任途殊。出新未必推陈尽，圆阙犹然一月孤。
1,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-02,20:14:49,图2
2,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-03,20:09:25,《日读书志》1352：2018年1月3日签名本巡礼12:《风景旧曾谙》（谭宗元先生著，作家出版社2000年初版初印。）    此宗远先生有关书人书事书话之短章结集也。所谓“风景”者，有关书之风流雅事也。一曰买书，有《买书随笔》，读之仿佛同其欢乐！二曰读书，有《枕上读书记》，读之俨然共其收获；三曰藏书，虽甘苦自知，读之似乎同彼好尚。收藏签名本、毛边本起步较早，故有珍稀堪羡，如姜德明先生签赠所编《北京乎》毛边本，十分难遇，余蒐求多年未果，不知何时可经眼否？张中行先生以《负暄琐话》《续话》《三话》名重士林，以故号曰负翁。翁题曰“宗远先生枉驾，持拙作属签名留念”，“深感不弃之雅也”。此负翁签名一惯行事风格，可代备忘录也。四曰评书，读之依稀见其读书旨趣。作者尝引负翁评知堂文字，云：“话能平常，好像既无声（腔调），又无色（清词丽句），可是意思却既不一般，又不晦涩。话语中间，于坚持中有谦逊，于严肃中有幽默。”余读此书，以为作者品书亦当以此为高标也。所评书无虑数十种，余亦大体读之，唯汪曾祺先生《晚饭花集》迄未寓目，止看书名，即增怀想。又念此为作者小说结集，遂寻觅萧斋中汪著小说读之，亦得见编入《晚饭花集》之数篇，然未得其全也，书此数语为异日追书之券云。    诗曰：一读君书觉兴加，龙泉美酒建溪茶。夜来风景知多少，苦觅书丛晚饭花。
3,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-03,20:09:49,图2
4,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-04,21:01:45,《日读书志》1353：2018年1月4日签名本巡礼13:《丁亥观书杂记—回忆我的父亲周叔弢》（周景良先生著，国家图书馆出版社2012年初版初印。）    至德周叔弢先生近代藏书巨擘，富甲天下，悉数化私为公：所藏宋元刻本、抄本、校本捐赠北京图书馆，活字本捐赠天津图书馆，字画、古玺印、敦煌经卷捐赠天津艺术博物馆，等等。景良先生为弢翁季子，出生之年适弢翁得宋本《景德传灯录》，因以名焉。丁亥（2007）之夏，景良先生至天津图书馆观弢翁所捐书之影刻影印本及手校本，并忆及往事。所忆之人，弢翁而外，有周季木（作者四叔）、方地山、袁寒云、劳笃文诸贤。所忆之事，皆藏书、读书、校书、刻书、献书等项。读之，绝知弢翁非特收藏家，实为文献家也。弢翁捐献之前，每得善本，并非珍藏秘阁，而斥巨资，精摹精刻精印，分惠士林。如影宋本《寒山子诗》、相台岳氏本《孝经》等，皆附彩插，图文并茂。今读尤所兴发感动者，在《父亲校书》一章。弢翁每得善本，必以他本校勘。如所藏《白石道人歌曲》，弢翁题跋有“陆刻本乙卯（1915）夏用张刻本、江钞本、许刻本校，我病识于天津”，盖以校书为袪疾之良药也。作者所见《彊村丛书》本《乐章集》，天头地脚密布校字手迹，丹墨烂然。此书，弢翁于甲子（1924）、庚午（1930）正月、二月三度校字，丁丑（1937）十月又“命儿子一良用蓝笔对勘一过”，此本又有唐立厂（兰）、巢章甫先生墨笔校字，至可宝贵。又如《危太朴云林集》，“昆山徐氏藏书。此儿子一良传录本。余复校阅一过，改正数字。戊辰（1928）二月，弢翁”。又跋云：“癸酉（1933）七月见文瑞楼钞本，因命儿子珏良补录之”。父子校书，真乃佳话！家富资财，去绝声色犬马，而以校书为上娱，周家“良”字一辈，人才济济，有以也。    诗曰：载籍琳琅敌石渠，高风自与俗人疏。唯馀至德能延世，独对丹铅忆校书。
5,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-04,21:02:06,图2
6,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-05,20:16:00,《日读书志》1354：2018年1月5日签名本巡礼14:《纸润墨香话古籍》（孟宪钧、陈品高先生著，学苑出版社2009年初版初印。）    孟丈宪钧先生精古籍版本与碑帖鉴定，得陈兄品高先生襄赞而成此著。夫宋刊元椠，明版清雕，洵藏书家与读书人所梦寐向往者也。然其源流、精粗、真伪或难明辩，此书以问答形式，条分缕析，开示尤多。所设问者诚读者所欲知，所答问者又切读者所必需。如古籍、善本之标准，既立原则，又兼包容。《古籍辨伪》一章，尤见矩眼。迩来讲古籍版本之书多矣，余大体过眼，虽千秋各在，而读此书最感亲切也。讲宋版之浙、川、建、赣各刻之特征甚明，有用字之别，各取欧、颜、柳体，赣刻介于颜柳之间。又引宋人叶梦得《石林燕语》云杭刻最佳，川刻逊之，建刻最次。建州盛产竹木，造纸雕板为宜，麻沙古镇以书为业，而有欠精工，而麻沙本杜少陵《草堂诗笺》写刻俱善，流入东瀛，《古逸丛书》覆之，极见精彩。想建本应须价廉，何当一往建溪，饮茶观书，岂不快哉！    诗曰：今有高明破古迷，能将真伪辨云泥。闻知版刻麻沙贱，可觅诗笺到建溪？
7,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-05,20:16:22,图2
8,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-06,20:17:54,《日读书志》1355：2018年1月6日签名本巡礼15:《精细集》（俞晓群先生著，浙江大学出版社2015年初版初印。）     子曰：“食不厌精，脍不厌细。”晓群先生辞官而后重操旧业，长海豚出版社，仿圣人言以“书不厌精，文不厌细”表其心声，以“书之爱，出版之爱，文化之爱”为职业坚守。果不数年，风生水起，为业界瞩目，为读者青睐。此书自述面对网络围困，“如何另辟蹊径，如何异军突起，如何分庭抗礼，如何夺路而逃”，其所偏重者，印装精致，一也；材料优质，二也；设计精心，三也。普通精装、仿皮精装、真皮精装，精益求精，林林总总，琳琅满目。其所创制“版本”仅举四例以证，“华人最好绘本”幾米绘本、“华人最好文字”董桥散文、“华文最好翻译许渊冲文集、“华人最好漫画”丰子恺作品，皆落户海豚，名闻海外。又专文研究“学术文采”，反对学术文字晦涩艰深、枯燥乏味，以黄仁宇、王充闾、张中行、梁宗巨诸先生为典范，凸显学术水准和优雅表述之相得益彰之妙。其所作为，至精至细，宜为书界模范也。然光阴似箭，倏忽八年，晓群先生荣休。想不久将来，晓群先生必以新面目新形式纵横书界矣。    诗曰：最美应添锦上花，装帧非为竞豪奢。精工换取留香久，偌个书生出版家。
9,%B4%F7%BD%A8%BB%AA,戴建华,2018-01-06,20:18:24,图2
