,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-03,21:06:07,《日读书志》1321：2017年12月3日随缘杂览42:《鲁迅笔名印谱》（郁重今先生篆刻，荣宝斋1976年初版初印。）迅翁多用笔名，经李允经先生爬梳整理，得百五十六名，郁重今先生为作篆刻，谱为此书。印有边款，详载笔名所自。如首印“鲁迅”，云“一九一八年五月《新青年》第四卷第五号发表《狂人日记》时署名鲁迅。”如“唐俟”，云：“见《梦》，一九一八年五月十五日发表于《新青年》月刊。”又如“唐丰瑜”，云：“见《〈勇敢的约翰〉校后记》，一九三一年十月印入湖风书店版《勇敢的约翰》。”如此，唐弢《琐忆》记迅翁言“我也姓过一回唐的”未为准确，应是两回也。此书收罗甚全，篆刻颇佳，唯“周树人”、“豫才”乃迅翁本名、表字，不应归入笔名也。迩来有论者每曰迅翁刻毒而不能容物，而迅翁不断更换笔名，彼时中国之大，何不能容一周树人耶？诗曰：人间谁分屡藏名，椽笔何妨自纵横。今日纷纭君不见，漫凭雕刻溯平生。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-04,20:40:51,《日读书志》1322：2017年12月4日追怀读书    今日为姜亮夫先生（1902—1995）逝世22周年忌日，因读先生书，藉以缅怀。26:《古文字学》（姜亮夫先生著，云南人民出版社1999年初版初印。）    亮夫先生淹贯文史，博学多闻。此书乃从亮夫先生为高校所编古汉语教材中移出别行者。先生虽非以古文字学名家，而此书相较于同类著述洵见特色。略论“汉字字形源流”从结绳、八卦、仓颉造字以至甲金篆楷，条分缕析。尤论汉字结构基本精神，即以写实主义及人本为基础，反映社会存在，举证丰富，不尚空谈，所论为他书所罕观，特富启发。至若文字结构，自许叔重详叙“六书”以降，唐立厂（兰）先生创“三书”说（象形、象意、形声），欲取而代之（1935）。此书用“三表说”（表形、表意、表音）立意（1955），此后陈梦家先生复用“三书说”，改其名为象形、假借、形声。裘锡圭先生以为唐先生三书说“没有多少价值”，而陈氏之说基本合理，又易其名为表意、假借和形声。汉字本非表音文字，亮夫先生所谓“表音”指形声、转注与假借。四子者皆各抱利器，欲以推翻“六书”则同。实则“三书”乃就汉字平面结构而言，貌似合理，而“六书”兼顾汉字平面结构（象形、指事、会意和形声）与历时演变（转注、假借），古之人信不余欺也。此书又专辟《古代字书及检字法》，颇便实用，而以雅书、韵书并列，虽曰推广，未免稍乱凡例，亦无伤大雅也。    诗曰：结绳创始未须真，仓颉初成泣鬼神。三表六书资考信，来今温故欲知新。
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-06,09:01:27,《日读书志》1323：2017年12月5日随缘杂览43:《离骚全图》（【明】萧云从【清】门应兆绘图，王承略先生校释，山东画报出版社2003年初版初印。）    屈子光同日月，历代慕仰，或施于丹青。传宋李公麟绘《九歌图》，元张渥、明陈洪绶踵事增华，明文徵明亦绘《湘君湘夫人图》。萧云从绘《离骚图》，以《三闾大夫卜居渔父图》居首，又绘《九歌》九图、《天问》五十四图。乾隆间修《四库全书》，以萧绘佚而不全，敕命门应兆补绘《离骚》三十二图、《九章》九图、《远游》五图、《九辩》九图、《招魂》十三图、《大招》七图、香草十六图。此所谓《全图》者，并萧绘六十有四，门作九十有一，凡百五十有五。以郑振铎先生所藏《离骚图》收录屈子像四幅居首，前此之李、文、陈各图，及张图徐邦达先生临摹者插入各相关位置萧图之后。各图多撷取《楚辞》名句以意绘之，多自想象。如“乘骐骥以驰骋兮，来吾导夫先路”，“为余驾飞龙兮，杂瑶象以为车”之属。唯香草十六图，兰、蕙、江离、留夷之类，皆为写实。蒙师先文德公督余雒诵《离骚》，流连荆山楚水，尝一一指认。今宵见此图画，不胜乡关之思矣。    诗曰：故国沧桑杂醉醒，遥怀少小读骚经。楚人最解怜芳草，每见瑶图总眼青。
3,%B3%A4%C1%D6%B7%E3,长林枫,2017-12-06,19:18:34,戴先生，知《读书绝句三百首》已经出版，价格多少，我要订购一本，谢谢
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-06,22:05:02,《日读书志》1324：2017年12月6日随缘杂览44:《吴大澂篆书论语》（【清】吴大澂书，中国书店2007年初版初印。）    愙斋雅擅书法，尤工小篆。初学秦代刻石，酷肖李氏阳冰；后得杨沂孙指点，取法金文。以彼于金石文字精研有素，两得益彰，是以篆法圆润流畅，又沉著雄厚。其篆书《论语》渊雅朴茂，世所稀见。余少小见督于蒙师先文德公，于追随先生牧牛河滨之际，得熟诵《论语》。子曰经心，读此可以识字；古篆养眼，览此可以重温，真两相得也。    诗曰：雒诵当年在故园，今宵开卷对芳樽。倾心非独法书美，犹喜重温圣哲言。
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-07,21:13:37,《日读书志》1325：2017年12月7日随缘杂览45:《文人肖像》（丁聪先生画，宗文先生编，三联书店2000年初版初印。）此辑丁聪先生历年所为文化名人肖像画，都八十帧，皆漫画家笔法，不著色彩，而竟能栩栩如生，传神阿堵。配以被画者本人之自述及其友人之绍介，画以简笔而不苟，文以要言更不烦，图文并茂，读趣盎然。人物中之诗人、作家拜观而已，重在瞻仰学者。季希逋（羡林）先生幅，任继愈先生评以“操非中非西之术，治不古不今之学”。金止默（克木）先生幅，自述“难得有缘人说法，易于无佛处称尊”，钱默存（锺书）先生幅，夏衍先生评谓“风虎云龙笔，霜钟月笛情”，张中行先生幅，自题“白首苍颜貌不扬，香奁绮梦定难偿。观棋听侃随缘事，也演浮生戏一场”。此皆意内言外，令人浮想联翩也，亦有质言之者，如梁寿铭（漱溟）先生幅，张中行先生评曰：“梁先生可敬之处不少：有悲天悯人之怀，一也。忠于理想，碰钉子不退，二也。直，有一句，说一句，心口如一，三也。受大而众之力压，不低头，为士林保存一点点元气，四也。不作歌颂八股，阿谀奉承，以换取絜驾的享受，五也。”条分缕析，梁先生之其人定格于笔端纸上矣。至于启元伯（功）先生，自况以《自撰墓志铭》：“中学生，副教授，博不精，专不透。名虽扬，实不够，高不成，低不就。瘫趋左，派曾右。面微圆，皮欠厚。妻已亡，并无后。丧犹新，病照旧。六十六，非不寿，八宝山，渐相凑。计生平，谥曰陋。身与名，一齐臭。”亦庄亦谐，于忍俊不禁之间，仿佛闻其歌哭也。诗曰：铅华尽洗见天真，光彩翻然解照人。开卷谁知多化鹤，却从图画想风神。
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-09,05:34:07,《日读书志》1326：2017年12月8日随缘杂览46:《从鲁迅到张爱玲》（陈子善先生著，北京大学出版社2017年初版初印。）今值子公将开八秩之日，故捧读此书。子公研治现代文学史，从与役《鲁迅全集》注释始。注释须求实求是，以此奠定公之治学基本取向，积年累月，子公遂以发掘、考证文学史料著名。公以为治所有文学史，必须遵循文学作品第一位，文学史教材只能是第二位而且永远只能是第二位之原则，非独现代为然，此深获我心者也。现代文学史于郁达夫、周作人、梁实秋、林语堂、施蛰存、台静农、叶公超、叶灵凤、常风以至张爱玲等，不讲、少讲或止于批判，子公于其作品及生平钩沉索隐，拾遗补阙，颇多发见，实开风气之先，此诚考镜源流、辩章学术之谓也。此书五辑：鲁迅及其文坛友人，一也；胡适、新月与京派，二也；张爱玲及其同时代作家，三也；旧派作家二三，四也；序跋，五也。林林总总，足见子公治学之方方面面。余以读古文辞之故，于新文学发生以后之旧派作家创作及新文学作家之旧体文学创作颇有兴致，子公于此亦导夫先路矣。郑老逸梅先生谙熟掌故，有“补白”大王之誉。今读子公《<郑逸梅友朋书札手迹>浅说》，颇为感慨。是书余两度经眼，周瘦鹃先生一函亦尝注意，而子公考证此函写作时间为“1967年9月22日”，参以逸老《最后的一次宴会》，断言周先生“危疑震撼中辄念海上诸故人不已”，而此次冒险赴沪，为此数人文坛老友“最后一次相聚”，“肴核杂陈，觥筹交错”（逸老语），子公以为亦为老一辈文化人对“文革”之“无声抗议”，“《周瘦鹃年谱》理应补上一笔，将来编订《郑逸梅年谱》也不应“遗漏”此一精彩至极一幕。余读书札亦为感动，唏嘘不已，而虑见不及此，知子公史眼如炬也。愿子公康强健吉，再著千篇。诗曰：注鲁看张笔最工，每闻高论坐春风。谁人文字垂青史，一力钩沉待折中。
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-09,05:35:16,图2
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-09,05:36:12,图3
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-12-09,05:36:50,图3
