,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-03,22:18:58,《日读书志》1411：2018年3月3日签名本巡礼67:《罗孚友朋书札辑》（高林先生编，海豚出版社2017年初版初印。）犹记此书往夏首发于沪上书展，时陈公子善先生所著《签名本丛考》及其他海豚出品亦同时推出，诸作（编）者列坐讲坛，而子公主持，乃言此集为今次最富价值之书，且示意余亟代购一册，以先睹为快，余是以知之。罗承勋先生笔名罗孚，长期供职于香港《大公报》《新晚报》，其经历之奇、涉猎之广、坎壈之深、成就之大，俱为稀见。其珍藏内地作家学者书札甚多，都为一集，足见世道人心。如巴金老人函云《随想录》乃“人之将死，其言也善”，何其沉痛！此录最大动议为建立“文革博物馆”，以为殷鉴，及今视之，此举尤为重要。然则不能以史为鉴者，或惧史有惊人相似处也。今次重睹，读其函札中旧体诗词，藉窥时代消息。如曹聚仁先生《看茶馆上演感赋三绝句》其一云：“匹夫自有兴亡责，收拾乾坤在一肩。戊戌重临应拭目，衔杯小饮说当前。”所谓“戊戌重临”者，以《茶馆》剧情发生于戊戌政变之后（1898），而上演于花甲重逢（1958）之时，作者自注云布景中“莫谈国事”之招贴愈写愈大，“裕泰茶馆”之招牌越来越灰暗。黄裳先生诗云：“惯从人海看浮沉，梦欲醒时恨亦深。尚留缣素惊鸿影，消受当时展转心。”聂绀弩先生诗云：“倘是高阳旧酒徒，春风池水底干渠。江山人物随评骘，一片冰心在玉壶。”杨宪益先生诗云：“有限光阴少，无聊琐事多。故人星散尽，不醉更如何。”皆见心境，可资考信。编辑稍见误植，如金尧如先生《金缕曲·奉和李新同志》，所附李新先生原词夹在和词两页之间，然自可判别。手书或稍潦草，辩识亦多趣味。以法书论，启功、黄苗子、董桥先生最见雅致，梁漱溟先生不以书名，而笔笔入纸，颇见功力也。诗曰：如烟往事易侵寻，天意无凭万马喑。自有人间青史在，珍藏片楮到如今。
1,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-03,22:19:22,图待补
2,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-04,22:05:44,《日读书志》1412：2018年3月4日签名本巡礼68:《百年新诗点将录》（韦泱先生著，文汇出版社2017年初版初印。）自1917年2月，胡适之先生于《新青年》刊布《白话诗八首》始，新诗已走过百年征程。适之先生之新诗创作，乃其主张文学革命之尝试与创举。先生《尝试集》四版代序云：“我私心以为文言决不足为吾国将来文学之利器。我自信颇能用白话作散文，但尚未能用之于韵文，私心颇欲以数年之力，实地练习之。倘数年之后，竟能用文言白话作文作诗，无不随心所欲，岂非一大快事？”然余少读之时，不能读先生诗，彼时能诵者为郭沫若先生《女神》，《凤凰涅槃》《炉中煤》真能荡涤少年心灵者。其时蒙师先文德公以古诗课余，兴趣遂为之转移至今。微先生此书，余不能知新诗史话也。诚如屠岸先生序谓“一部诗史，不能离开诗作；一篇篇诗作，不能离开诗人”，故读此《点将录》，“等于读一部中国新诗史”，余颇韪斯言。余读之，有所思，有所感。所影响于新诗人者，一曰古人，一为西人。适之先生编诗选词，所重者乃古之人所作近于白话者；亦多新诗人游学东西洋而受域外诗人之熏陶者，新诗作者有兼而为外国诗之译者，此其一也。新诗人创始之作脱颖而出，而愈老大，所作似不及当初，意者新诗之属于青年乎？二也。新诗健将如俞平伯、臧克家先生之伦，晩岁颇回归旧体之作。三也。何以如此，似尚有待发之覆者。又，此《点将录》并不足一百单八之数，实借“点将”之名而作著名新诗人之别传，求别致耳，非摹拟也。然“点将”即须列序，亦可作著者心目中新诗作者之座次表看，读者或有异同之论，不亦可乎？宜乎此书所以有“启予”之妙也。诗曰：少读新诗诵女神，千红万紫竞争春。百年回首真堪羡，未必今贤逊古人。
3,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-04,22:06:03,图待补
4,%BD%F0%CB%DA%B5%C0%C8%CB%B9%CB%D6%D9%E7%F8,金粟道人顾仲瑛,2018-03-05,18:47:06,点将录之类，也是数不胜数了
5,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-06,06:51:11,《日读书志》1413：2018年3月5日签名本巡礼69:《夜读记》（易卫东先生著，江西高校出版社2015年初版初印。） 卫东兄惠寄赐读，今读毕。书分二编：《戊子读书记》（自丁亥除夕至戊子除夕）、《有不读斋日记》（自二〇一二年元旦至十二月三十一日）。卫东兄日日读书，日日笔记，所谓集腋以成裘，聚沙而为塔也。日读一书，频年不辍，此余与卫东兄同者，所异者为所读之书耳，是以余读此书得开眼界，广异闻矣。如《涸辙书简》，为叶圣翁与贾祖璋先生京闽通信集，圣翁文名远播，兹不赘述。祖璋先生为著名科普作家，文笔优雅畅达，观《南州六月荔枝丹》一文可知。二老处忧患之中，鱼来雁往，必有如《暮年上娱》（圣翁与俞平伯先生晚岁通信集）文情并茂者，甚欲一读！陈来先生有文曰《犹记潇湘细雨时》，观名即颇向往。此记大学时代读书生活，或与《燕园问学记》精神相仿佛，今宵止增联想。如此之类甚多，颇有不欲止于耳食，而思经眼者，此拜卫东兄所赐也。书中又记读有关民国之书，卫东兄引述故实，臧否人物，足资启发。亦有同读者，如《余英时访谈录》《岁月书香》及《张中行先生作品集》等等。钱胡美琦女史著《楼廊闲话》，为台湾素书楼文教基金会出品，发行未广，余乃因女史赐赠得而寓目，不意卫东兄亦读之，且笔之以文。“观念偏于传统和保守”可谓的评。《启功日记》及柴剑虹先生著《我的老师启功先生》、陆昕先生《启功：诗书继世》，余亦拜览焉。要之，卫东兄以读书为日课，为乐事，虽偏爱有异，而可引为同道也矣。诗曰：流水年华岁易除，生涯万事竟何如？人间最是怡情处，添酒回灯夜读书。
6,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-06,06:51:38,图待补
7,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-06,21:13:18,《日读书志》1414：2018年3月6日签名本巡礼70:《读库偷走的时光》（马国兴先生著，鹭江出版社2015年初版初印。）余自得薪水始，买薪购水之外，多置书。近四十年前，逐年订阅期刊数种。尝闻人（王蒙？）言：“可以不读书，不可以不读《读书》。”新世纪、新时代以降，未能与时俱进。宁愿读书（古书尤佳），不读《读书》（常苦于读不懂，盖不知所云也）。多种期刊，亦未能“从一而终”。新创之刊，非无邂逅之机，竟缘悭一读。时贤所著，多因仰慕其人而读其书，少有因读其书而获交其人者。郑州马君国兴兄，相识于古越暨阳，一见如故。因获赐其书，读之。观书名即一惊，如国兴兄有为之人，时光竟为《读库》所偷，则何以哉？书分三辑：心经，一也，为论《读库》之编辑经、标题风、藏书票；流年，二也，记《读库》编读之故实；人间，三也，记《读库》相关之人物。附录《流水行云》，逐期论评《读库》有关之文章，最难能而可贵，夫复可敬也。余以读此书而略知《读库》，而今而后，可以读《读库》也，或能一释杂志（或连续出版物）愈久愈有名而愈难读之憾也。诗曰：读书一念最惊人，未必推陈尽出新。来今自觉殊堪笑，路近名园怕见春。
8,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-06,21:13:34,图待补
9,%B4%F7%BD%A8%BB%AA,戴建华,2018-03-07,21:27:13,《日读书志》1415：2018年3月7日签名本巡礼71:《书话点将录》（王成玉先生著，文汇出版社2017年初版初印。） 昔贤月旦人物，评骘作品，有比之以人者，如“魏武帝如幽燕老将，气韵沉雄；曹子建如三河少年，风流自赏”。有拟之以物者，如“范诗清便宛转，如流风回雪；丘诗点缀暎媚，似落花依草”。如此则含蓄无尽，而令人遐想不已。逮“点将录”别开一体，如《东林点将录》《诗坛点将录》等，借《水浒传》晁盖及一百单八将之星名、诨号为序座次，甚矣其难哉！或比拟不伦，一也；叙次不易，二也；褒贬失当，三也。然虽可当作游戏之笔，亦可视为一家之言。吾楚成玉先生为此《书话点将录》，“点将”之难而外，又定义“书话”亦殊不易易。昔者攸关书之所作，有“书目”之类，如《四库全书总目提要》；有“书跋”之属，如《汲古阁书跋》；有“书评”之伦，不胜枚举也。“书话”迥乎与异，又混乎其同，或有作者兼擅之也。人谓“书话”或循诗话、词话之名以行，唐弢先生以为须有一点事实，一点掌故，一点观点，一点抒情，审矣备矣。余犹以为，非事有奇遇、书有奇缘、居有奇货、文有奇思、笔有奇致、读有奇情，不能谓之佳书话。如有从书店或网络购得新书一册，稍事浏览，略有心得，辄发以议论，则书话云乎哉？成玉先生唯书是爱，唯书人之为敬，于“书话史”精研有素，广搜旁讨，援笔成文，此百九人雅会一书之中，先生后生，志同道同，视为书话作者群英谱可也，座次前后又何必如杨炯既在“四杰”之列，而“愧在卢前，耻居王后”邪？至于已入者辄自诩自得，未入者则衔悲衔恨，皆乏雅量也。诗曰：点将功成岂等闲，谁期书苑似梁山。一编广约群英会，列位何妨伯仲间。
