,AuthorID,Author,Reply_date,Reply_time,Text
0,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-04,20:43:28,《日读书志》1261:2017年10月4日二十四史选读22:《金史》（【元】脱脱等撰，书影：《金史》，点校本精装本，中华书局2011年初版初印。）《金史》一百三十五卷，兹选读卷一百二十六《文艺传》之《王若虚传》。若虚字从之，“幼颖悟，若夙昔在文字间者”，尝任县令，“皆有惠政，秩满，老幼攀送”。后与修国史，善属文。值权臣作乱，群小附和，欲立功德碑，威逼若虚为文。若虚谓元好问曰：“今召我作碑，不从则死；作之则名节扫地，不若死之为愈。”卒事蓡不行，而可知气节。金亡，微服北归。游泰山，至黄岘峰，憩萃美亭，愿终老此处，“因垂足坐大石上，良久瞑目而逝，年七十”。余两到岱宗，欲寻此亭，不可得也。犹记少读之时，蒙师先文德公为讲《史记》李广射石故事，引《滹南遗老集》评语而论之，虽不无异同之议，要之颇豁眼界也。诗曰：高论曾经洗耳听，更惊不滥作碑铭。滹南遗老遗文在，难觅当年萃美亭。
1,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-04,20:44:01,图2
2,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-05,20:28:48,《日读书志》1262:2017年10月5日二十四史选读23:《元史》（【明】宋濂、王袆等撰，书影：《元史》，点校本精装本，中华书局2011年初版初印。）    《元史》二百一十卷，兹选读卷一百七十二《赵孟頫传》。诸生素闻子昂书画之名，诚然。于书，“篆、籀、分、隶、真、行、草书，无不冠绝古今，遂以书名天下”；于画，“山水、木石、花竹、人马，尤精致”。而彼其之才颇为书画所掩，“知其书画者，不知其文章；知其文章者，不知其经济之学”。故选此传，文长，颇有删节。所可注意者：子昂出赵宋宗室，而入元，且享高位。明乎此，读其诗“烟花楼阁西风里，锦绣湖山落照中”（《和姚子敬》）、“南渡君臣轻社稷，中原父老望旌旗”（《岳鄂王墓》）、“少年风月悲清夜，故国山川入素秋”（《次韵子俊》）可深一层了解同情。子昂既仕元，“或言孟頫宋宗室子，不宜使近左右，帝不听”，而其不避忌讳，关心民瘼。所选二节，颇见其果敢直谏也。又因此诵《松雪斋集》，乃集其句以成一绝。    诗曰：寒叶疏云乱客愁（次韵信仲晩兴），仍呼陶谢与同游（题朱锐雪景）。人间俯仰成今古（闻捣衣），江水悠悠只自流（钱塘怀古）。
3,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-05,20:35:26,图2
4,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-06,20:27:56,《日读书志》1263:2017年10月6日二十四史选读24:《明史》（【清】张廷玉等撰，书影：《明史》，点校本精装本，中华书局2011年初版初印。）    《明史》三百三十六卷，兹选读卷一百三十六《陶安传》。安字主敬，颇知时势，太祖未取金陵时，进曰：“取而有之，抚形胜以临四方，何向不克？”为太祖所善。又能下人，及刘基、宋濂、章溢、叶琛至，太祖问如何，安自云“谋略不如基，学问不如濂，治民之才不如溢、琛。太祖多其能让”。及置翰林院，诸儒议礼，安为总裁。太祖与论兴亡，安言“丧乱之源，由于骄侈”，帝曰：“居高位者易骄，处佚乐者易侈。骄则善言不入，而过不闻；侈则善道不立，而行不顾。如此者，未有不亡。”又与论学术。安曰：“道不明，邪说害之也。”帝曰：“邪说害道，犹美味之悦口，美色之眩目。邪说不去，则正道不兴，天下何从治？”太祖能言，皆安所发，故御制楹联赐之曰“国朝谋略无双士，翰苑文章第一家”，见重如此。而子晟以贪贿诛，兄昱亦坐死，发家属四十馀人为军，后死亡且尽，唯续妻诣阙告诉，以帝念安功，一人获免，亦可叹也，    诗曰：一言能发帝王思，谋略文章更足奇。可叹老成能报国，齐家却令后人悲。
5,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-06,20:28:33,图2
6,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-06,20:28:49,图3
7,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-07,20:15:54,《日读书志》1264：2017年10月7日日就月将05:《读通鉴论》（【清】王夫之著，中华书局1978年初版初印。）    余好《通鉴》，而以缘竟得此书，时时读之，且因之常温温公书以参证。船山挟正气，秉史笔，而臧否往事，月旦人物，有足多者。汉之为汉，高祖叹三不如人而卒用之，而成帝业。温公云“明哲保身，子房有焉”，船山云此“未足以尽子房也”，赞“其忘身以伸志也，光明磊落，坦然直剖心臆于雄猜天子之前”。而韩信数项羽之失曰“有以当封爵者，印刓敝，忍不能予”，船山云“封爵者，因乎天之所予而隆之，非人主所以市天下也”。天下既定之后，高祖侈于封矣，而反者数起。船山以为“信之为此言也，欲以胁高帝而市之也”，而“云梦之俘，未央之斩”，而伏于此焉。萧何曰“天子以四海为家，非壮丽无以示威”，船山嘲以“其言鄙矣”，又以“未尝非人情也”。人或美“严光之不事光武”，以为高尚，然船山谓“以视沮、溺、丈人而尤隘矣”，彼其“知道不行，弗获已而废君臣之义，故子曰隐者也”，而“光武定王莽之乱，继汉正统，修礼乐，式古典，其或未醇，亦待贤者以道赞襄之，而光何视为滔滔之天下而亟违之”？又如“管宁在辽东，专讲诗书，习俎豆，非学者勿见，或以宁为全身之善术”，船山喝问“岂知宁者哉”？断曰“天下不可一日废者，道也；天下废之，而存之者在我，故君子一日不可废者，学也”。如此之类，不一而足，要之谠言如雷，警句联翩，足以发人深思也。    诗曰：古往今来任折中，几人可叹几人雄？江河毕竟东流去，深信文章有至公。
8,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-07,20:16:44,图2
9,%B4%F7%BD%A8%BB%AA,戴建华,2017-10-07,20:17:03,图3
10,%BD%F0%CB%DA%B5%C0%C8%CB%B9%CB%D6%D9%E7%F8,金粟道人顾仲瑛,2017-10-08,19:06:01,不过明史的明初人物传记多有讹误，使用时应注意考证
