,AuthorID,Author,Reply_date,Reply_time,Text
0,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:07:41,接着胡局的黄侃贴，八卦一下我心中的这个疑问。
1,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:07:54,《跑警报》一文在汪老的多个集子中皆可见，节选如下：“ 联大师生跑警报时没有什么可带，因为身无长物，一般大都是带两本书或一册论文的草稿。有一位研究印度哲学的金先生每次跑警报总要提了一只很小的手提箱。箱子里不是什么别的东西，是一个女朋友写给他的信——情书。他把这些情书视如性命，有时也会拿出一两封来给别人看。没有什么不能看的，因为没有卿卿我我的肉麻的话，只是一个聪明女人对生活的感受，文字很俏皮，充满了英国式的机智，是一些很漂亮的Essay，字也很秀气。这些信实在是可以拿来出版的。金先生辛辛苦苦地保存了多年，现在大概也不知去向了，可惜。我看过这个女人的照片，人长得就像她写的那些信。 ”http://book.sina.com.cn/longbook/his/1111714837_renjiancaomu/46.shtml
2,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:08:24,原以为金先生必为金克木，那女人便应当是卢雪妮。结果今日读《国立西南联合大学校史》（http://www.douban.com/subject/1074222/）时发现哲学系的教员 / 助教名单里并无 金克木 先生的大名 （p171 - p178）。以“西南联大” 和 “金克木” 同做关键词搜索，也没有证据证明金克木先生与联大有任何教职关系。百度百科及wiki上显示在1938年至1946年间，金先生先后居住于香港，湖南桃源，印度，武汉，时间地点上都和联大扯不上关系。
3,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:08:51,究竟：这个金先生是谁？
4,%C0%CF%D4%C6,老云,2009-08-24,21:15:38,金岳霖？
5,%C0%CF%D4%C6,老云,2009-08-24,21:21:13,摆渡一下1911年入北京清华学堂，1914～1921年在美国宾夕法尼亚大学、哥伦比亚大学学习政治学，获哥伦比亚大学政治学博士。之后在英、德、法等国留学和从事研究工作。1925年回国，1926年在北京清华大学任教授，创办清华大学哲学系。以后任西南联大哲学系教授、清华大学哲学系主任和文学院院长、北京大学哲学系教授和系主任、中国科学院和中国社会科学院哲学研究所研究员和副所长。1954年被选为中国科学院哲学社会科学部学部委员，1979年被选为中国逻辑学会会长。1953年加入中国民主同盟，曾任中央委员、中央常委。
6,%C0%CF%D4%C6,老云,2009-08-24,21:21:59,关于《知识论》，金岳霖曾经说过：这本《知识论》是一本多灾多难的书。抗战期间，我在昆明时已经把它写完了。有一次空袭警报，我把稿子包好，跑到昆明北边的蛇山躲着，自己就席地坐在稿子上。警报解除后，我站起来就走。等到我记起时，返回去稿子已经没有了。这是几十万字的书，重写并不容易。可是，得重写。《知识论》是我花精力最多、时间最长的一本书！
7,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:24:28,金岳霖先生的专长不在印度哲学，而且此段落的前一段为：“跑警报，大都要把一点值钱的东西带在身边。最方便的是金子，——金戒指。有一位哲学系的研究生曾经作了这样的逻辑推理：有人带金子，必有人会丢掉金子，有人丢金子，就会有人捡到金子，我是人，故我可以捡到金子。因此，跑警报时，特别是解除警报以后，他每次都很留心地巡视路面。他当真两次捡到过金戒指!逻辑推理有此妙用，大概是教逻辑学的金岳霖先生所未料到的。”   “ 联大师生跑警报时没有什么可带，因为身无长物，一般大都是带两本书或一册论文的草稿。有一位研究印度哲学的金先生每次跑警报总要提了一只很小的手提箱。箱子里不是什么别的东西，是一个女朋友写给他的信——情书。他把这些情书视如性命，有时也会拿出一两封来给别人看。没有什么不能看的，因为没有卿卿我我的肉麻的话，只是一个聪明女人对生活的感受，文字很俏皮，充满了英国式的机智，是一些很漂亮的Essay，字也很秀气。这些信实在是可以拿来出版的。金先生辛辛苦苦地保存了多年，现在大概也不知去向了，可惜。我看过这个女人的照片，人长得就像她写的那些信。 ” 这样完整引用下来看的话，这个金先生应该不是金岳霖。
8,%C1%D6%C1%F9%C8%E7,林六如,2009-08-24,21:26:43,而且我觉得汪应该是见过林徽因本人的。
9,%CE%E5%D2%BB%D5%AB%D6%F7%C8%CB,五一斋主人,2009-08-24,21:28:09,当然见过.还得过林的肯定呢!
