,AuthorID,Author,Reply_date,Reply_time,Text
0,%CE%E5%C3%F7%D7%D3,五明子,2013-03-19,00:06:32,平生风义兼师友——怀念张晖（一）2013-03-1811:34:443月15日清早07:49，张晖夫人张霖从北京打来电话。寒暄几句后，她难以再保持克制，哽咽着告诉我：张晖快不行了。她说，你也不用来了，北京这里好多朋友帮忙，Suda怀胎六月，一个人带小毛，你还是照顾好他们吧，我就是告诉你一声，你也别和她说，免动胎气。挂上电话我仍然脑中一片空白。我甚至连“节哀”都忘了说。到后阳台定了定神后，我和家里简短交代了下，往包里塞了两件衬衣先出门，在路上收到Suda发来的短信：能最快到北京的只有11:30的飞机，高铁预计会晚到1个小时。我从来没有感到高空航行如此煎熬，因为我害怕他就在自己没有信号的那两个半小时里，无声无息地走了。在一万米的高空，我遮住脸，让眼泪无声地落下来。我认识张晖已有二十一年。两人同岁、1992年夏考入同一所高中、同班、同样住读、且是前后桌（虽然是隔壁宿舍）。我们都是农村孩子，在十五岁进高中之前，我从未去过岛的东部，他也从没到过县城以西的上沙；并不奇怪，我们最初之间最初的话题是崇明岛各地的印象、口音差异以及各自的少年经历。他自幼早慧，按年岁他原应低我一届（11月生日），但那时羡慕大孩子能背书包上学，哭闹着也要去；因为姑夫是小学校长，才容他提前入学。小时他喜欢听广播里的评话、小说，也喜欢文史，但十一二岁时大病一场，抢救过来后人似乎也迟钝了点，加上初中环境不同，对文史的兴趣慢慢就淡了，高一和我聊起时还常感慨说那是很久以前的事了。他的初中班主任俞成对他一直青眼有加，俞老师很有才情，不幸当年填错志愿，抱恨不已；语文老师金长庚擅长隶书，但他对书法也并无兴趣。进初中后他长期只是班上的十几名，到初三才挤进前三，最后一次终于考了全班第一，随后在全县尖子生选拔赛上，成为他们全班惟一直升崇明中学的学生。他对初中母校感情不深，原因是觉得自己受了不少冤屈——这一点和他爷爷、父亲相似，他们也性格刚直（日记1993.9.2，下引日记均为我本人日记）。他曾无故被从一等奖学金拉到二等。学校管理又极严，他有次参加直升生会议，仅迟到了一小会儿，便被校长骂得狗血淋头。入团也很迟，他们学校入团还要考试，他考得很好，却还是入不了，似乎是有人为了挫他的“傲气”，最后是在俞老师的极力争取下才取得的。如果有人在那时预言他将成为古典文学方面的优秀学者，可能连他本人都不大会相信。事实上，在整个高中时期，他成绩最突出的倒是数学——高一第一学期期末考试的成绩，他以94分的成绩在数学这一科上列全班第一，高考时他数学127分，也高出另三科一截；张晖起初给人的印象是一个冷峻、逻辑思考清晰的理科生，只是他其它各科发展较均衡（除了历史也很优异）；不像我是个较偏科的文科生。但入学半年后，在高一的寒假，他身上发生了明显的变化，“寒假来后，我感觉他已变了——他变得无限热衷于文学。……他一天到晚地捧文学书、语文书，他总是询问关于古典诗词的东西。他和我变得沉默了，他把时间全用上去了。”（日记1993.5.6）他最初的兴趣点是古典诗词。那时我把自己密密麻麻手抄的约三千首唐宋诗词的本子借给他，他过了两三个月后才还给我。这一兴趣经久不衰，之所以是诗词，乃因它极凝练，每个字都可以反复读，而那时要得到一本书并不易，虽然那时也勉力找到了《词学》、《唐宋词十七讲》、《灵溪词说》、《淮海居士长短句》等来看，但仍有盲人摸象之感。当时我觉得，想理解诗词难易，最好自己也写写试试。然而我们这两个乡下少年既无人指点，又找不到相关书籍，于是以最原始的方法实行：两人开始一字字复原平仄，试图照猫画虎，但多数情况下只是把字数填够而已；因而他最初总是偷偷写，不给任何人看。直到高三我才偶尔弄到一本很旧的龙榆生著《唐宋词格律》，两人如获至宝，翻来覆去地看，事实上，即便在高考前夕最紧张的关头，我们都没有停止填词——我在高考前最后一次填词是7月1日，六天后就开始高考。在这个过程中，对如何组织字词逐渐有了感受，慢慢写得像样了一点（因而更加“悔其少作”），这也是后来他对龙榆生兴趣的最初起源。与此同时，从高一下半学期开始，他沉迷于《红楼梦》，为此极力搜罗红学著作；对钱钟书《谈艺录》和《管锥编》的研读大略也始于此时。要得到这些书不容易，因而两人经常去学校图书馆，不方便借的时候就抄书；同时从杂志上了解动态及应该阅读什么书目（主要是《文学遗产》和《古典文学知识》）。想看又看不到的书，就照着书后版权页上的出版社地址写信过去，询问有无相应书籍——通常得到答复后即便没有库存，也会随寄一份邮购书目过来。这种办法最初可能源自我们的另一个共同兴趣：集火花，因为那时乡下尚未普及液化灶，还都使用火柴。我们都曾给大理、长沙的火柴厂写信，有时十块钱就能买到好几百张火花。到高二高三时，三不五时就会有他的邮包到（因为寄到乡下家里太不便，有时会在村里耽搁很久）。有一次他买了一本北京三联出的线装本《槐聚诗存》，薄薄一百来页定价32元，那时一本三百页的书通常也不超过10块钱，看到他咬牙买这样“骇人”高价的书，令全班都印象深刻；那时我就觉得他如果不为经济问题困扰，“日后当有所成”（日记1994.11.4）。因为得来不易，他非常爱书，起初把每本书都包上书皮——直至他的书多到再也包不过来为止。高二有次我去他家时借了本《沧桑艳》（丁传靖注，陈生玺笺释），那时我们对明清之际的乱世都很感兴趣，而此书中相关资料极多，我来不及抄，就用铅笔划在要点下，待回家后抄写。结果还书时他发现后一声不吭地拿橡皮使劲擦，某些地方我擅自更正书中印刷的错别字，他也埋怨我不该自以为是。到高三时，随着校图书室开架及周末去县图书馆越来越多，我们又陆续发现了许多南明史的书，从司徒琳、顾诚各自撰述的《南明史》、柳亚子编次的《南明史纲》，到《永历实录》、《先王实录校注》。其中最打动我们的是陈寅恪先生的《柳如是别传》。那段时间我们都贪婪地大量阅读课外书籍，如果说有什么不同，那就是我的兴趣更为分散，尤其高二时看了一些现当代文学（特别是张承志和顾城）和外国文学；他则对此毫无兴趣，除填诗作词外，对文学创作也无兴致（高中时他并不以作文好著称，他并非文人才子形象，而一直是精确、思辨的学者气质），甚至对宋代以前的古代史和古典文学的兴趣也不高，刚进大二时他来函说自己一直在考虑将来专业方向“现已决定学习唐以下文学：宋-->近代”，其根由在高中即已埋下。那时我们的语文老师曾对我说，她觉得张晖“有点奇怪”，他语文成绩平平，但和别人不同，他交上来的周记有时像是学术札记，而不是类似“记一件有意义的事”。事实上，班上不少同学或许也是这么看他的，到高二下半学期，全班尽人皆知张晖迷恋红学、钱学与古典诗词。前两者后来在他治学中隐而不显，但他从中却学到了很多方法论。到高二，我们俩的成绩都出现了一定波动，但并未就此“收心”。虽然都清楚这些对考试几乎毫无助益，但这种兴趣如此强烈，以至于难以压抑，在某种程度上它甚至成了一个减压阀——在应对考试之外阅读这些课外书，并不是“增加”的负担，倒更像是换脑休息。从高二起，我们在假期里开始以文言文通信——他先起头，但最初也不无游戏意味。我们那时的语文老师水平不高（有次她说辛弃疾《永遇乐·京口北固亭怀古》写的是清军南下遇到史可法），这也使得我们只能依赖自学；由于完全没有参照，我们都以为这是自然的状态，而内心深处又无法确定自己究竟处于什么水平的能力。这使他高考前填报南京大学中文系时一直惴惴不安，他说自己如果侥幸入选后，大概属于中等偏下。尽管对自我评价严苛，但他评价他人倒是常常冷峻、公正而坦率。高二时一次辩论，我方输了，他则认为对方四辩“气质、风度、口才之类”都比我好（1993.11.23日记）；另一次一个同学问他，我是否可能成为“大文豪”，他断然回答：“不大可能！”（1994.7.5日记）。在我沉迷于现代诗的时候，他告诫我“作文水平在上升，语文能力在下降”。我语文成绩虽不弱，但至迟到高三头上，他已取代我成为全班公认的古典文学方面最权威、准确的解释者。不必讳言，在那激烈的竞争环境中，我们之间既有相互督促、也有相互竞争，不过二十多年来，我们从未因学术之外的问题争吵过。因为平常沉默寡言，他常予人冷峻木讷的印象。但熟知他的人都清楚，他其实极易相处，而内心极为丰富，是所谓“热水瓶性格”。有次他穿了件灰色的风衣，同学看上去像“大灰狼”，他也哈哈笑，从此这（以及衍生而来的“老灰”）就变成了他的外号；另一次同学看香港电影时发现某个角色像他，回来戏称他“大圈仔”，他也笑纳——多年后在香港，电话里他还笑着说：“如今真成了大圈仔。”他喜欢真诚朴实的人，待人也如是。不时还有些冷幽默。高二时第一次去他家，从镇上下车后往东走了好一程还没到，我有点沉不住气，问：“你家房子什么样子的？”他不动声色地指着右前方不远处一栋说：“就跟这栋差不多。”——事后很快发现那就是他家（1993.11.13日记）。又一次夜自修时，他问：“溜到外面去，老师要是查起来，有什么说法应付？”我随口说了几个，他笑说：“那好，我们出去吧。”两人便在小花园里土山的竹亭里聊到深夜（1993.9.2日记）。虽然身材高大，但其实常有孩子气的举动，坐在我后面时，课上还会用笔戳我后背或踢踢我椅子。又喜欢吃零食，生病了托我们带饭，单子上写的却常是杏仁、话梅、可乐之类。上大学后，他也常笑着说起南大的老师“可爱”、“不失赤子之心”，他之所以格外看重这些，大概由于他本人也正如此。和有些学校不同，崇明中学我们那届直到高三毕业都未分班，直到高考前四个月半才正式要求每个人确定选加科目（3＋1），但即便确定之后，三门主课仍按原班级上课，只有加的这一门才另外上课。因而虽然平时竞争极其激烈，学业重负，但至少一些同学之间的感情一直很好。在那个黄梅雨季，高考的压力、前途未卜的迷茫、青春谢幕的感伤……这一切同时达到高潮，久久不散。那时我和他都是全年段九个班级400多人中选加历史的仅有四人之一。因此最后半年上历史课时，老师第一堂课先问：“我倒是要问问你们，为什么要选历史？为了你们四人，害得我还要备课。”其中一个女生说，因为她觉得历史可能容易考一点，她另外三门更差——这可能也是实话，不过好像让张晖听了似乎有点生气，摇了摇头。和所有人一样，他也承受了巨大的压力。那时他的理想是去出版社（尤其他心目中的上海古籍出版社）做编辑，班主任觉得他考复旦历史系分到出版社应该没问题，但告诫他出版业不景气；他父母虽然向来开明，得知他想继续深造文史，其父也说了一句：“你要是考中文系、历史系，那我们栽培你多年的钱也都扔进冷水缸里了。”不过父亲考虑了一两天后仍尊重了他的愿望，认为“在冷门上做出成就，比在热门上庸碌无为要好”。家里的谅解让他歉疚，他是独子，清楚家境一般，自己这般“任性”的后果如何。辗转反侧之下，一度他竟曾想放弃去考政法科，不过他又说到南京后“不买书叫我怎么活”；甚至说如果有了后人，也一定还是让他学文史（1995.3.8日记）。不过奇怪的是，他从未动摇去南京的念头，即便他那时认为自己将在异乡相当独孤——结果，这个预言最终没落在他身上，倒是落在我头上。最终，他还是选定了南京大学中文系。我则选了复旦中文系，原因之一是那一年南大中文系在上海只招两人，我们都觉得恐怕不会这么巧刚好选中我俩。想好之后，他不再犹豫，他对父母心怀歉疚，但几乎把这看作了自己人生的宿命。2003年底，我到香港，他那时正在香港科大读博士，两人没有时间会面，就在电话里聊了三个小时。他说，到香港后令他感动的一点是：正因为香港是个高度商业化的社会，所以很多来读文史类博士的人，都是绝了别的念头才来读的。他在说这些的时候，我觉得他是在说自己。（http://www.douban.com/note/267062680/）
1,%CE%E5%C3%F7%D7%D3,五明子,2013-03-19,00:12:18,平生风义兼师友——怀念张晖（二）2013-03-18 22:31:18高考的结果，他如愿以偿；我则一败涂地，被调去厦门大学读广告——当时第四志愿填厦大，原因之一也在于他的劝说：“去那也不错，郑朝宗先生在那！”他那时钻研钱钟书著作，对率先提出“钱学”的郑朝宗也“爱屋及乌”。直到如今，我内心深处实际上一直隐隐将他视为走上了另一条人生道路的自己。那原本是我人生的另一种可能。在最后那个夏天的狂欢之后，剩下的是无尽荒凉。临别时，我对他说：“真个‘如今俱是异乡人’了。”他也有些感伤，回了我句：“醒来知是梦，不胜悲。”这两句都出自那时读过的韦庄词，那个“梦”，既是谢幕的一段青春期，后来看，也是一个理想。他进南京大学时正逢第一期文科强化班，文史哲打通来教，教授们极为重视。第一堂课程千帆、周勋初、卞孝萱、张宏生、张伯伟、莫砺锋等各位先生一一登台自我介绍，昔日在书刊上只见其名的海内著名学者，一旦都在眼前。台下新生纷纷提笔记下学者名字，只有张晖端坐不动，有人问：“你怎么不记？”他很吃惊：“这还用得着记？”对他而言这早已是耳熟能详的名字。国内高中与大学教育脱节严重，而他则一直是在以读大学的方式读高中，比很多人都更自觉地做好了准备——他甚至一直以为那是最基本的素养，这也是他此前低估自己的原因。寒假回岛相见，他说，你信不信，南大读中文历史的新生，不少人上大学前看过的课外书不超过十本；不知道“谭其骧”名字的大有人在，更别说“季龙师”这样的称呼了。他说，许多人对海内外学者十分生疏，“有一阵子我在宿舍里每天晚上滔滔不绝地谈文史及名家，他们几乎听傻了。”南大的同学都很好，大二寒假回来，他住我家，一整个晚上都在谈自己在大学的老师和同学，把他们挨个介绍，形容得个个可爱，一直讲到凌晨四五点，俨然把我看作是他们班的编外成员。他说很想带我认识他们每个人——我没想到第一次见到他的这些同学，竟然多年后是在他的遗体之前。不过在古典文学的学术上，他当时颇有“独学无友”之感，在来信中说“有同学而无同志”。而我，那时经历重创之后，陷入了长久的抑郁和自我怀疑之中，原先自己为之骄傲的东西，此刻一文不值，甚至被目为怪诞。他说，那时真该劝你也考南大——后来南大中文系在上海实际录取了三个人，而另两个女生“高考分数都比你低”。他起初还只是试探性地问我“你以后还准备考研么？”既而说深知我家里不大会同意我放弃这一专业而考中文系研究生，劝我不如也像个新闻系的样子“活活泼泼”，但他并未放弃，后来几年越来越不含蓄地鼓动我考研考到南大去。然而我那时对自己丧失了自信，又知家境清贫，父母很难供养，最终还是决定先去工作养活自己。这一直是个使他失望的决定。大学回岛的假期里，我把自己家里的《清诗话》、《请诗选》、《灵溪词说》等都送给他，他说：“你留着吧，你也要看。”我说：“这些以后对你比对我更有用了。”他默默收下。他察觉到我有放弃的念头，不过仍然不断地给我寄书，有一次竟让张宏生先生题签了《江湖诗派研究》寄过来。进大学后他读书越发不可收拾。大一暑假回家打电话给他，才知他回来两个星期，别说“足不出户”，连楼也不下，有时吃饭都要叫他几遍才下来，甚至抬到他楼上书房去吃。老同学杨敏有时约他出来玩牌，他说正忙，杨敏啐道：“呸！看书还忙！”其所以如此，是因为他入学后深知治学之难，“昔日不知深浅，臧否人物，今日才知即一小小成绩，皆需狮子搏兔之力，方可成之，弟此生不求多少创见，缝缝补补足矣”（1997.4来函），“弟本愚钝之人，欲成一二，须下苦功。唯身边无知己，极苦闷也”（1997.10来函），“本学期来，弟在孝萱先生指点下开始读史……弟独学无友，虽间有所得而欲告无人，每长叹息，哀你我之分处两地也。”（1997.3来函）从当时的迹象看，他大一时对红学的兴趣仍未减退，因为他最初给郭豫适、吴小如先生写信，所问都是红学相关的问题。“今日又收到郭豫适先生信，见到了前辈学者谦虚的胸怀，极感动。弟亦要求上进”（1996.3来函），而吴小如先生在答复他俞平伯的问题后，又介绍施蛰存先生给他认识。1997年夏他南来厦门之前，特地去上海愚园路谒见了施老，施老要他遍读唐五代北宋词做根基、又嘱他注意整理乡邦文献，因为1941-43年曾在长汀厦大执教数年，还嘱他到厦门后多拍些厦大的照片看看。“日前得吴小如教授函，复印黄君坦资料来寄，又有照片附来，老辈提携后进，真不遗余力”（1997.12来函）。在此之前，他已开始酝酿为龙榆生编撰一部年谱，尤其是因他大二头上时，“多日前弟得龙榆生氏主编之《词学季刊》一套，花四百圆方始买下”（1996.10来函）。给我的信中也越来越多提到各种要求：起初他对日本学者的方法感兴趣，要我帮忙统计白石词中色彩及音乐用语（因为他知道我最喜白石词），之后渐渐要我帮忙搜寻抄录龙榆生先生在厦大期间的文章资料、问我新买的《陈寅恪诗集》中1961-62年间有无关于龙氏小五柳堂的史料，如此等等。到1997年9月，他来函正式告知：“近来搜罗龙榆生资料，其人投靠汪伪，又为一代巨匠，颇值研究，弟欲为撰一年谱，饾饤之业，聊遣时日，漫托心思而已，本不足详观细论。”两个月后他又来一函：“近辗转与龙沐勋先生公子龙厦材联系上，如此可望于材料上有所突破，年谱成功有望。因作百年来词学研究者小传，整日屑屑为生卒年、著述等考订，颇乏趣味，时有不耐感……近日南京天气颇坏，或雪或雨，被困高楼纸上，每日木木而已。”他平常最耐枯寂，此刻想也是用力太勤，用他自己的话说，“弟之龙榆生年谱，杀青无日。各方面提供材料越来越多，有应接不暇之势。”（1998.3来函）这段时间，他假期回沪也会去拜访龙厦材及龙氏门人钱鸣瑛、徐培钧等。从少年时读《唐宋词格律》起，他对龙榆生先生一直深感兴趣，那时真是进入到龙氏的生命中去了，故而得到龙氏后人全副相托；而龙氏的某些侧面，恐怕也激起他同感——和他一样，龙氏也体质不好，又有八个子女，一度四处兼课，苦苦维持而又治学不怠。当时有人著文说起龙氏只是“文化汉奸”，和我谈起时他说此论很“迂”，对当事人的处境实在体察太少。到大三将尽，他编撰的年谱终于大抵完工，寄给吴小如先生后，与他通函多次的吴先生才第一次知道原来这是他大三的学年论文，“我不禁惊诧，以这部《年谱》的功力而论，我看即此日其他名牌大学的博士论文也未必能达到这个水平。深知有些但务空谈、不求实学的所谓中年学者也写不出来，因为当前中、青年人很少能耐得住这种枯燥与寂寞，坐得住冷板凳。”——吴先生的这段评语使许多人都知道了张晖这个名字。到2001年这部年谱终于脱稿出版，成为他的第一部代表作，以至于当时有人说“南大文强班出了一个张晖，办得也就值得了”。不过这部年谱的写作也使他越发感受到生活的压力，尽管张宏生先生等都在为他征集材料，但“大批书无法借阅（或新出版，或手稿影印、未刊稿之类），只能自己购买，经济上不堪重负。学问须金钱铺路，诚多体悟矣”（1998.3来函），以至“七月弟亦拟实习，生存压力极大。弟家中经济状况大不如前（家父已辞职）……为之苦恼已久，胸中仍无主张……若放弃学术，就此工作，则弟真有所不愿。然置身尘网，有何可言。今日方知晴雯之可贵”（1998.5来函）——他提到这一句，是因为高中时，我最喜欢的红楼梦人物是晴雯，而他最喜欢的却是秦可卿。在此之前，为了买书他已很长时间节衣缩食，极感拮据。有一次和我在上海汉学书店看到《藏园群书题跋》，标价28元，他取舍不决，便对我说：“来，剪刀、石头、布，我赢了就买。”结果他输了，便沮丧地放回书架。那时原本早已约好1997年夏他们几个老同学来厦门游玩，在出发前三个月，他来信说海燕和杨敏早已打工筹措盘缠，“否则，将藉口钞票短缺，不拟南行。”那时海燕信上也说：“（晖）也在努力省钱，据他自称现在连书都舍不得买了（这一点我是比较怀疑的），估计到最后能省下两三百块钱，听他的口气似乎是绰绰有余了。若是如此的话，我们大概也就只能坐坐521次[慢车]了，而他，也只能靠游泳去鼓浪屿了。”最后能成行，也确实幸亏了杨敏早有准备、又慷慨解囊。那年夏天临南下前夕，不凑巧遇山洪爆发，福建出省惟一的鹰厦铁路严重塌方；他和两个女生一路换乘三种交通工具（南京－上海，铁路；上海－福州，轮船；福州－厦门，大巴），舟车劳顿，在三天后终于抵达厦门。见面后他说，他们南下，主要是想看看我在厦门过得怎么样，说得我一阵心酸。那几天，四个人在厦门过得极愉快。在空荡荡的校园里四处走走，在鼓浪屿上懒洋洋地，一个个竟在郑成功像（那时我们发现这尊雕像很像高中的班主任）下睡着了。黄厝海滨那时还根本没有游客，仿佛海天之间只有我们这几人在。他脱了鞋，起初穿着袜子在沙子上走，被杨敏嘲笑后脱了袜子，小心走到齐膝深的海水中，忽而兴奋得大叫一声，我们不明所以，都大笑起来。也是在那一次，我在厦门的草坪上第一次听到了张霖这个名字。他说她的诗写得真是好。这次南来，张霖叮嘱他带几朵厦门的凤凰花回去。临走那天，我们站在凳子上，把楼下最后两三朵残余的凤凰花剪下夹在本子里。不久，他在来函中越来越密集地提到张霖的名字，到大三暑假，他给我看了张霖画的一幅“新儿女英雄传”，画着他们俩；画上的他捂着胸口，因为那时他有胃病。张霖对他无微不至，后来我开玩笑说她是“年度最佳饲养员”，他慢慢胖起来似乎就是从那时开始的。1998年夏天，他开始到上海古籍出版社实习。那时他第一次经历了幻灭。这是我们在少年时所憧憬的圣殿，进去不久他遇到一件事：一位审稿的老专家去世，而生前所借一些宋元善本皆不见踪影，社里很急，他遗孀却说：“真是找不到，否则对我们来说也没什么用。”他说到这里时边笑边摇头。宋元善本，学人目为无价之宝，但常人看来，不过是些带洞的旧书罢了，值什么？他说，想到这里心里常一片空空，不知所学究竟何用。而一些人将学术资料俨然据为自己领地的做法，也让他有些愤然。数月后我去南京看他，他带我去“军俱”，那里的书市上书像白菜一样堆在地上卖，他笑着说：“震撼吧？我们当年在乡下对每本书那么宝贝，到了这里才真觉得书就是一种商品。”话是这么说，他实际上从未停止求学的脚步，实习时仍不断搜集龙榆生资料。到8月，他接到张宏生先生来函，问及“不知你是否有意续读研究生，我愿意做你的导师”，他感到大为宽慰，那时学校也有意留他修《全清词》。不过他不断质疑的刚直脾气并无改变，返回南京读研一时，在年底系里的一次硕士与博士后的交流会上，“弟问他们有无觉得做学问没有意义；假使有意义，你们认为是什么意义？支吾一片，没有人能回答。现在搞学问的更多是渣子，非但不思考人性、现实问题，就连论文也写不好，只知道要求待遇如何如何，极为看不惯！”（1999.12来函）那时我已毕业工作，在一家外资公司不辨晨昏地劳作，内心烦躁得几乎看不下任何书。我们平常的交谈渐渐地更多变成了对各自生活的关注，而非学术议题的讨论。到他研一快结束时，他来信说决定有机会去香港继续读博士，“我过去太过拘束，信心也不够，现在我想凭自己的实力，无疑是同辈里的优秀人材，故要多争取机会，开拓自己”（2000.4来函），两年后，这终于成为事实。大约也是在那段时间，他开始关注近代的女诗人、女词人。他那时曾屡次在沪拜访张珍怀先生。另一方面是因施蛰存先生早先嘱他关注乡邦文献，要他有机会校点《施淑仪集》；凑巧的是，龙榆生长子龙厦材的夫人恰好是崇明女诗人陈乃文（也是施淑仪女弟子）之女。他曾说自己祖上是在徽州的账房里做的，但落籍崇明早已有十几代人，在高中时代我们就曾注意到崇明岛在明清时代系属长三角一带相当文化欠发达的地区，大三时他和我信上说起“吾乡文风不振，甚可悲也”。这份持久关注一直未变，直到去年夏天他还特地回岛，与县志办约定陆续推出“崇明乡土文献丛刊”，初定第一批书目是王清穆、陈乃文的集子，他事先跟我打招呼：“这样的活吃力不讨好，通常没人做，交别人又不放心，你到时也认领几本吧。”我虽然也一直关注这些，但内心也有严重的幻灭感。有次和他说：“你说花这么大精力，如狮子搏兔，可有多少人会认可、珍视？”他说：“你是觉得我关注的都比较冷是吧？可是冷板凳总得有人要去坐。有一次，在南京书市，听到旁边一人询问《钟嵘诗品研究》，让我心头一震，那本书只印了不到一千册，远不如《禅与诗学》，可是张伯伟先生亲口说，在自己作品里他更重视前者。这样的读者就是我们的希望，哪怕很少，也够了。”他说，我有时觉得这是个末法时代，可是你要好好做，把东西留下来，要相信会有人看得见，即便只是非常幽暗的光。（http://www.douban.com/note/267169499/）
2,alin,alin,2013-03-19,00:44:12,写得好，有感而发，让人落泪。
3,%CC%FA%C9%FA+,铁生,2013-03-19,01:26:21,更加了解了张晖，也更加钦佩，本来是一代学术良材，天不佑之，实在伤痛。
4,lcw010,lcw010,2013-03-19,02:36:10,实在可惜，这样的人才今后很难再有第二个。一个前途不可限量的人突然就走到尽头，人事无常。
5,%CE%FD%CF%F3%D1%AC%D5%AB,锡象熏斋,2013-03-19,07:03:41,在此之前，为了买书他已很长时间节衣缩食，极感拮据。有一次和我在上海汉学书店看到《藏园群书题跋》，标价28元，他取舍不决，便对我说：“来，剪刀、石头、布，我赢了就买。”结果他输了，便沮丧地放回书架。
6,%C9%B5%D7%D3%B8%E7%B8%E7,傻子哥哥,2013-03-19,08:44:14,世事难料。。。。走的真是可惜。。。。
7,lcw010,lcw010,2013-03-19,08:53:52,这批信札也是珍贵的文献，建议今后整理出版。今天早上再读一遍，这类文章，必须有深厚情谊的人才能写得出。
8,lcw010,lcw010,2013-03-19,09:13:22,张晖南大硕士导师似乎是程千帆先生
9,%BA%EC%C2%A5%D5%EC%CC%BD,红楼侦探,2013-03-19,09:17:31,五点感到很亲切：1 两个乡下孩子，一个没有到过崇明岛的东部，一个没有去过上沙；2 崇明学校校长的威严；3 厦门大学的那位无力读研；4 学霸占有学术资料的情景；5 1990年代中期，给红学家写信，多半都能得到热切的回应。
