,AuthorID,Author,Reply_date,Reply_time,Text
0,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-02,21:33:22,"银羽逐书记·2017年第一篇.元旦书市和其他(1月1日动笔,2日补完)大约是在2010年至2011年间,南京的旧书市场从朝天宫搬至南艺后街,当中几度更易,元气大伤,周末书市总算维系下来,节日的书市则自此一蹶不振,元旦所见就是此番光景,只有不到昨日1/4的规模,新年无半分新气象.人少货稀,可以仔细翻看,老范的摊位上有一件“中国民主促进会南京市委会员”签名册,价100元,还40元亦可,一册《向守志将军墨迹选》虽有签赠,不是太想买,拿起放下,老范看在眼里,说:十块钱.起身付完钱,那边有人喊我名字,走过去,递过一本邮品纪念册,正狐疑间,卖家从中抽出一纸片,内容是纪念郑板桥三百周年诞辰,雕刻制版,编号发行,上面有三位作者亲笔签名钤印(周京新、赵顺义、刘一民),制作很精美,问价,要200,100买下来,这里,不是我会砍价,其实都是卖家计划好的,预设剧情就是半价成交,这一向早已驾轻就熟,如果正好碰上想要的,我就自觉配合参与表演吧.接下来多有推荐签名本的,应下一本《伍霖生画集》.唯一自己选定的书,只有林贤治《火与废墟》,2元.临走,书市出口处地摊上有一旧笔记本,顺手翻开,有签名,却不认得,内容还有点意思,起于1955年11月16日,主要是某大学农学院的教学计划和工作安排,止于1956年4月10日,肃反运动深入高校,要价很便宜就买下了,回家查询,得知笔记主人周久钊曾任沈阳农业大学党委书记.今天有书友小仇一路同行,11年前初入书市,举目四望,都是年长很多的大叔,惟小仇年纪相近,遂结成书伴,小仇入市远比我早,人面广,健谈,俩人在一起,月旦人物也没什么顾忌.上周书市遇见陶阳兄,说店中有一批资料要给我看,今日践约,小仇陪我同往朝天宫去,到时,古玩城旧楼大门未开,往新市场去瞧瞧,三楼四楼有地摊市场,不大的一方需100元一天,把卖书人都吓跑了,所见尽是些瓷玉杂项,上下转了一圈,耗掉些时间,再到老古玩城的四楼,陶阳兄已在候着,一会杨雷兄也到了,这是对生意伙伴,各有所长,于一处经营,陶阳兄拿出一批南京师范大学旧档,取出一些翻看,没多大意思,推辞掉,又取出几件信札,一眼相中,尤其是程千帆先生毛笔书写的真好看,一一询问,报价与市场接轨,最后选定其中四件,好歹让了500元.是:程千帆毛笔信札一通2页,钱仲联钢笔信札一通1页(附受信人回函底件1页),徐中玉信札二通3页,都附有原信封,且是写给同一人的:吴文冶.是五年前吧,买过一批吴文冶先生手稿和部分藏书,其中包括了代表作《柳宗元集》的底稿,当时还奇怪未见到有通信,后与薛冰先生提起此事,薛先生说早在2002年就在书市买到过吴的藏书,还讲起上面有几款不同藏书印,佩服薛先生记性好,也明白了吴文冶先生的旧藏是不同时间不同渠道流散出来的.从仓巷出来,遇到学人书店的阚炜兄,问我有何收获,显显摆.回到家已近11时,13时有一位书友要上门取所定书籍,考虑其路途方便,不是约在我家,而是到我父母家,稍坐就赶往新街口,连着两天书市行程,加上睡眠不足,有些支持不住,坐在沙发上歪歪倒倒左右不自在,对方晚点半小时,是位六十上下的先生,看上去干净利落,请进来坐好,订书为杨苡自存本《呼啸山庄》一册,另《〈兄妹译诗〉后记》打印稿一张,手稿6页,书友翻看东西,一边聊天,我主要介绍一下此件来源,来者对故家旧物流散似乎很能理解,还说起他往年与忆明珠的通信曾流落书市,正好被他朋友买到的巧事……坐着聊了有十分钟,自己的疲态大概没掩饰住,老先生起身告辞.回家查看订单上的信息,才知道刚刚接待的是一位名士,觅至先生网上博客,拜读了几篇文章,又想到他买了《呼啸山庄》是为了拜访翻译者时请题字留念,杨苡先生看见那曾经的自存本,不知会作何感想?"
1,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-04,23:36:51,"昨天上午去仇师傅家取书,200元买了51册,大都是这几个月来同一源头的散书,此次仍没有什么亮点,惟干静整齐,大都是三十年前的旧籍,四角毕挺,一尘不染,可见旧主人宝爱之情,人存政举,人亡政息,书之聚散亦是此理,旁观这么多年,习以为常,偶尔入手一批很整齐的文史旧书,会生出自己收藏的心情,再想到那种种下场,也就作罢了,现在只存些特别喜欢的,看过的,想看的,杜绝仅仅为摆个样子.    把书送回家的路上,接到书友的电话,大致说收到一批书法作品,报了几个名字,“选堂”二字入耳入心,书友又言明这批东西暂不发售——我汗,纯勾引啊?不管怎样,约好次日登门拜访的时间.    这一阵,日日熬夜读书(扬之水的《〈读书〉十年》第二部快看完),早起成了问题,灭了闹钟再眯一阵子,起床后还是慢动作,穿鞋准备出门一看已过了10点,赶紧……    城东到城西,出行很便利,时间却省不了,路上耗费多过看东西时间,一批书法作品,来源明确,甚至有正式出版物可以一一比对,我捧着实物翻看,他则一个人名一个人名借孔网、雅昌和百度做三重搜索,虚虚实实得出的结论:他认为不低于六位数,我觉得没那么乐观,对方心气正高,又不急于出手,讨论价格尚不必要,所以什么都没说.    不想空走,在书堆里觅得一册《曼翁书画篆刻选》签赠本,新加坡出版的,较为少见,与上宗书法同一出处,在曼翁为谁人的问题上,起了争执,书友非说是爱新觉罗·曼翁(书内小传如是说),难以说服,正巧见书中夹了一纸条,大概是受赠人所写:“沙曼翁:215006 苏州市乌鹊桥路一人弄3号101室”,递过去——省了皇室身份,要价得减几分.    此事前因后果极有趣,简单记下:一对老夫妻,都是教授,老爷爷去世有年,老奶奶近来为卖房子拾整老屋,有个收废品的小贩隔三岔五能收到老奶奶认为无用之物,转手2元一斤售于吾友,书籍部分他留下自己卖,手稿信札售我,眼见的这一批大概是终季末集——收废品的小贩说,老教授的房子已经找到买家,据说还是位爱书之人,那一屋子书和其它且做卖房的赠品,当然,以后就没我们什么事了!    旧物流散,前几年有过更极端的,南京大学一位老教授去世后,家属收拾了细软资财之后,把房门钥匙直接交给一位当时开书店的熟人,声明几日之内须把屋中书籍信札家具杂物等清空,就充作辛苦费,这事后续搅动书市得有一两个月的时间,彼在盛夏,我懒病发作,错过,事后补救,买了一组信札几本书.    而去年有件事,时间和关系上都离得更近,母亲的一位至交好友刘阿姨,1980年代旅居加拿大,回国必有小聚,10月底某日,母亲应邀,回来与我说起,与平常聚餐不同,这次行程很特殊,刘阿姨约请十几位亲朋好友到江宁竹山路参观一处展览,其父母的生平展,是一位民间收藏家陈西民先生主办的,展示部分内容的来源就是刘阿姨家才扔出来没多久的东西,老实说,去年年初听闻刘阿姨老母亲去逝,我脑筋是转了一下,随即就想老人家前脚刚走,就惦记人家的书呀稿呀的,于情于理都说不过去,想不到其后的发展也没出乎聚散的人间规律,为均分遗产卖房子,大举扔东西在所难免,现代中国社会大家族化整为零,对关系自家历史的档案文献也就不在上心……不过,刘阿姨兄妹四个都是豁达之人,在微信朋友圈里得知此事,呼朋唤友去参观,未生枝节,据说心情还很愉快——但是,想想多少还是有点奇怪吧.    母亲在参观的现场与藏家陈西民先生有交流,提起我的名字,陈先生知道,并给予很高评价,参观结束,对着众人还说了这么一番话,大意是:能接待资料原主的家人很高兴,更高兴今天认识了张涛的妈妈——老妈这个心情可就好了,回来对我刮目相看,父母曾经激烈反对我“正经事不做,网上卖旧书”,我解释工作做了十年,也未见效果,想不到还是靠旁人给解了围.    陈西民先生,听母亲提起这个名字,没有想起是谁,今天写此文,上网查了下,是熟面孔,三年前,有两面之缘,在书市简单交流过,没想到给人家留下个好印象日后能起到作用,以后见着要感谢.附:西祠胡同一篇文章《民间“抗战教育文献展”“9.18”当天正式开展》(作者:老家在顾楼)http://www.xici.net/d233890011.htm    今年9月18日，是“九一八事变”发生85周年，是个不平凡的日子，“弱国无外交”人们当记取，日本亡我之心不死，必须提高警惕。在南京全城施放防空警报的同时，在江宁竹山路“中石化管道公司南京培训中心”举办的“抗战时期教育文献史料收藏展”也正式展出了。    在单位的领导、职工的大力支持之下，该单位员工，民间收藏家陈西民欣然将长期以来精心收藏的众多史料中的抗战时期教育文献史料精选出来，经过紧锣密鼓的认真准备，终于掀开盖头，与世人谋面啦！据了解，它是自抗战胜利后我国民间第一个有关抗战时期教育文献的收藏展。展品资料丰富，内容翔实，有相当多的珍品、孤品，十分难得，免费对市民开放，值得一看。    内容分为三个部分:日寇铁蹄下的教育实录，抗日烽火中的教育救亡，抗战胜利后的教育复原。每一部分都有大量文献来记录当年的教育历史。展览还有附展，著名医学专家刘正确、高达珍贵史料展。    昨天上午，展览迎来第一批客人，陈先生人情接待，并做详细讲解，客人们为之深受感动。正如陈先生坦言，收藏要“眼睛里有活”要有文化和历史知识做基础，真的，没有他的讲解，许多看似不起眼的珍贵的东西就可能被忽略。陈西民表示说，“哪怕只有一个人来，我都会认真给他讲解。”    展览地址：江宁竹山路151号，东山宾馆旁。"
2,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-04,23:37:35,补上题目:银羽逐书记·2017年第二篇.旧物流散(1月4日记)
3,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-06,15:37:29,"银羽逐书记·2017年第三篇.书价和书品、购书卡两张(1月6日记)    在孔网开网店历十一年,书的流动性很大,但留存下来的也不少,历时久的,特别是原来定十品的新书难免退化,想过将存书整体分类重新上架,特别是要调整一下已不尽合理的定价,但工程量实在太大,望而却步,也只是顺带做了很小一部分,更新书影,定价下降三分之一甚至一半,效果:大部分仍无动静,个别立竿见影就遇到买家,举例来说——    佐川美术馆 开馆五周年特别企画展·明代官窑青花瓷的宝库·南京博物院藏《中国染付》(日本出版图录),存放了三年,价格从三百多调至210元,一天之后就易主了.(地址 http://book.kongfz.com/3440/182356731/)    《图书馆学目录学资料汇编》,这书买得更早,可谓开国老臣,一直放在固定位置上,偶尔对望——老兄还在啊!上个月补充了一张图片,20元降到10元,昨天售出.(地址 http://book.kongfz.com/3440/608789638/)    什么书都好做的时代一去不返,经营普通文史书,必然会被卷进价格大战之中.    如果能以2元一斤来买书,怎么都可以立于不败之地,没有建立专属书源是我最大的问题,现在与最初进入书市,淘书姿态几乎没有变化,多了些朋友,皆是非常成熟的书贩,都在孔网有店,好书自然不会漏下来,就算能买到,高价拿下再上孔网去打价格战……这条路真是走到黑了.    在孔网求存,又不能被孔网的价格体系所束缚,前途貌似光明,却也不好走,再过三五年,才能有个定论.    我对如何经营网上书店,最早的指导思想:一个中心两个基本点,一个中心指精品,两点是文史新书和二手旧书.    新书利润微薄,书源主要有两个:夫子庙的书香斋、张公桥的天宫书店,虽然购进新书要直面网上同质竟争,还是坚定不移,小小囤积,非为居奇,很多年里始终认为自己会有一间实体书店,买新书是准备动作.    书香斋和天宫书店,这两家南京最大的特价书经营户先后完成了其历史使命,我的书店梦也已不存在,而当年购进的新书,十存一二,都有七八年以上的时间,空负年华,朱颜随岁月更迁,前几年尚能心存侥幸,现在非得有所说明不可,近几日前后售出两套书《顾亭林诗集汇注》、《生命言说与社群认同——希伯来圣经五小卷研究》,情况类似,在确认订单前,修改了相关信息并与买家勾通,拟了一段网店工作会话,之后还可以套用,如下:    ——《》,此书是2008年上架的,当年是全品新书,事隔9年,书品下调至9品,基本是自然旧,无人为损伤,可能会影响您购买的意愿,请斟酌.   随记:购书卡两张.   南京的特价书市场曾十分发达,5元书店遍布街巷,其中书香斋和天宫书店规模最大,双雄并峙,好书迭出!   书香斋,从初中开始,经常走动,至其关张,有二十年的书缘,书香斋一直未见制作购书卡,在最后几年,对话中偶然得知,收银的一位阿姨是我小姨妈朋友的朋友,自此得到关照,能免掉些零头.   首次登陆天宫书店,银羽十九岁,场面阔大,书价更便宜,第一次购书印象深刻,中国文联出版社三岛由纪夫作品集四种《走尽的桥》《纯白之夜》《残酷之美》《太阳与铁》,以及《清代园林图录》一本,不到20元,天宫书店推出购书卡是多年以后的事,我在孔网己有书店,有金卡银卡两种,享受折上折,钻石卡则不能直接办理,需金卡用户消费满1万元,我从金卡升到钻石卡大约用了半年时间.   复兴书店与天宫书店据说有亲戚关系,复兴书店靠近南京大学,书目趋于文史方向,更精致些,这里我买书不多,那一次正好赶上其推出购书卡,办张银卡买书几册,没多久,书店关门,二次消费都没能实现."
4,%CB%AC%BF%DA%C2%ED%C0%CF,爽口马老,2017-01-06,17:37:58,张涛，河南口技相声演员，口技是他的拿手绝活。他在表演方面不断创新，把口技加在相声段子里，和河南相声界名家‘裴佩’合作在河南及周边省份表演已数百场。
5,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-06,19:39:58,"马老见笑,本名实在太常见,同住一幢楼就有两个"
6,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-09,23:10:31,"银羽逐书记·2017年第四篇.周日书市(1月8日记)    周六下雨,书市顺延,当天接到小李电话,我要他找的书配齐了,共42册,网店价3000元,可打六折,讨论了一下,约好下周二去他家里见面再定,临了问一句,明天去书市吗?小李有畏难情绪,天冷生意不好做云云,连他这样的铁杆都不出摊,顿觉前景一片黯淡.    今天闹钟设定在五点一刻,一个小时后抵达南艺后街,场面果然惨淡,书摊屈指可数,撑不起一个市场来,如今不怎么参与争夺书源,只在边上看着别人挑选,直到7点过后,我才有第一本书入手——《喻继高画集》,1997年版,8开精装,画家毛笔签赠钤印,这是卖家特意给我留的,索价颇昂.    之后在别人捡剩下的书中挑了两本:《石缘——向耘藏石选萃》高向耘签赠本、《北京匡时2016秋拍 天工紫韵—藏乐阁当代紫檀家具专场》,买书到此为止.    往卖杂物的区片转了一圈,无收获,途中见到一件潜水艇模型,颇为精良,想买,拎一拎,太重了(份量在玻璃罩上),遂放弃.    遇到一位书友,说有一批签赠本可以×千元售,约好周一上午送到家里,此事一波三折,想想还有些讨厌,去吃这口回头草,因为心里始终未放下吧.    有位朋友开车要送我回去,顺便取在我网店订购的5册拍卖图录,他们是夫妇二人一起来逛书市,幼子独留家中,这边就催着我赶快了,临走买到几套经典游戏光盘:《神秘岛II 星空断层》《生化危机2利昂警官》《银色幻想》《破碎虚空》《霹雳英雄榜》."
7,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-09,23:10:49,"银羽逐书记·2017年第五篇.周昌松先生旧藏签名本(1月9日记)    今天上午办成两件事,一是为老祖母九十大寿置新衣,二是买入周昌松先生旧藏签赠本一组.    买书的事昨天书市上约好的,今天卖家送货上门,这批书说起来是二进吾门,去年夏天买了一次,因故退货,本以为从此绝缘,此番把吐出去的又吃回来,平生绝无仅有之事,前提当然是去伪存真,此事前因后果说起来挺复杂,也许是我们有个共同的朋友无意中起到勾通调和的作用,去年12月有了两回接触,感觉不错,并且反客为主.    对这组签本,去年放弃了,念兹在兹,心里没有放下,偶尔还会设想他们是否找到了新主人,所以再度被提起,一拍即合.    喜欢的理由就是漂亮,魏紫熙、武中奇、尉天池等几册堪称签赠本的完美典范.    书都是送给同一人的,周昌松先生是已故“南派”书画装裱大师,曾供职于南京美术公司装裱部,在拍卖会上其收藏字画作品已出现过一些,关于怎么流散出来的一时没找到线索.手边这批藏书均为画册,一大半是签赠本,把这部分书目整理如下:    《魏紫熙人物画选》魏紫熙毛笔签赠钤印本《魏紫熙山水》魏紫熙钢笔签赠本《魏紫熙 山水画谱》魏紫熙毛笔签赠钤印本《魏紫熙 山水画谱》魏紫熙毛笔签赠钤印本(同一本书,送了两次)《王个簃书法选集》谢海燕毛笔签赠本,附留言一段《剑胆琴心——武中奇百年艺术人生书画篆刻选》武中奇毛笔签赠钤印本《沈涛画集》沈涛毛笔签赠钤印本)《谭勇画集》谭勇签赠钤印本《中国著名将军书法家·彭勃书法集》彭勃签赠本《尉天池书法选集》尉天池毛笔签赠钤印本《喻继高画集》喻继高毛笔签赠钤印本《张文俊山水画集》张文俊毛笔签赠钤印本《范汝寅书法》范汝寅毛笔签赠钤印本《罗玉祥画集》罗玉祥签赠钤印本《吴俊发版画集》吴俊发签赠本《汪澄山水画集》汪澄签赠本《朱墨林山水画》(画片)朱墨林签赠本《赵文元画选》赵文元毛笔签赠钤印本《北人南画——周晓光山水画集》第3、4两册,周晓光签赠本《魏镇山水画集》魏镇签赠本        说起来在旧书市场游走之人,多少抱有捡漏的居心,名人签赠本可谓最容易上手的机会,尤其早些年,稍加留意,一般签名本简直俯仰皆是,大名家一年也能逮上几位,有心的,存下来组个名人堂不在话下,老版本书店的魏兄有一次对我说:以程千帆为限,高于其上的名家签本,他至少存了三十种,报了几个名字几种书,的确厉害,估计不少书友都存着私货呢!    过去这些年,签名本在我手上进进出出不知凡几,往往就是得来太容易,不知珍惜,对名人墨迹的看法,长期都是重信札手稿,而忽视签名本,直到最近才生出建立自己签本小王朝的念头,已经上架网店的都提了提价格,确保卖不掉,平时留意精品,有合适就果断购入,但并不容易,卖家都注意到这点,无漏可捡,精品的价格这两三年突飞猛进,大几千一本不乏其例,自信和实力均有长进,可还是赶不上物价."
8,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-12,22:01:37,"银羽逐书记·2017年第六篇.“小儿科”之一(1月10日记)    上午十点半到小李家取书,41本1950年代至1960年代初的儿童书籍,计价1500元,之前在他那里以10元一册陆续买了34本同类书,刨去其中有两册重复,实得73本,加上本来既有4册,共计77册,可以作为一个起点展开收集,目标是三个月之内能达成百册,并不是珍罕之物,应该是轻而易举的,而初入贵境,完全不熟悉情况,远大理想还没成形,目前大致有这么三层意思:    其一:以1950年代至文革前的儿童书籍为主要目标,这与“十七年书”的概念一致.    其二:文革或之后的图书兼顾,但有所限定:老版书籍的再版、作者签名本和特殊稀见的版本.至于民国的童书,暂不多想.    其三:有关儿童文学的理论和鉴赏书,收集一些,展开阅读,用理论先武装一下,刚从书架上找到《中国童话史》《世界儿童文学史概述》,由此开始.    以老版童书为收集方向,有很多不确定性,一旦展开,成为2017年的一个主题,边走边瞧边想.附:今天之事承接2016年12月31日,当日《银羽逐书记》写道:购买“1950年代童书2册,10元,是延续之前的线索,,对老版童书一直上心,但纵观十一年淘书史,只有零星偶遇,近几个月盖有“南京师范学院中文系”藏书章的陆续散出,都是小薄册,书品尚可,之前按照10元一册来买的,一开始放在网店,售出一本《碳的一家》（1960年1版1印,叶永烈处女作）之后,想法转变,自觉零星散出实在没什么意思,留着吧,存多了一些之后,挺好玩的,今天跟卖家小李打招呼:要他把自留的那些拟个价一总卖给我.”    这批新买到的书尚未整理,《碳的一家》(少年儿童出版社1960年1版1印)存有书影,展示一下,亦作勉怀,孔网查了一下,此书初版还真没出现过几次,童书是大印量高消耗."
9,%CB%CE%D2%F8%D3%F0,宋银羽,2017-01-12,22:02:07,"银羽逐书记·2017年第七篇.大师和先生(1月12日记)    接连两日凌晨方睡,起床都在午后了,外面天气挺不错,想要出门走走,可是来回看着客厅里堆着拍卖图录,并且因为这个问题没解决,又新增的其它书籍,问题,问题,问题,卖书之事往复循环,没完没了的问题,只有把自己按在电脑前,上架图书,解决问题.    今天上线收到宋健兄留言,问微信,答曰没有,又告知:“我最近在运营一个关于程千帆的微信公号，记得你曾写过收藏程千帆相关东西的文章，可否整理一下给我发在公号？……这个号影响力还可以，“程门问学”，请陈永正题的字。不过较公益，没稿费，开通了打赏，打赏所得都给原作者的……”    应承了下来,择吉把旧帖整理成文章.    上次与宋健兄见面,多蒙签赠所编著《大师》(南京大学出版社),拜读过,非常有意思,后在家中又觅得《先生》(中信出版社),两书异曲同工,甚至装帧开本都相类,相佐阅读,别有乐趣,如今《大师》挨着《先生》放在书架上,成为我的珍藏.    傍晚接窦兄电话,约在明天上午十点去看书,预计又是一波书潮来袭～"
