,AuthorID,Author,Reply_date,Reply_time,Text
0,%B0%A2%C7%EC,阿庆,2017-12-11,19:18:35,《韦力上当了》韦力之著，陆续买了十之八九，最初乃由其著之趣味入手，比如抢手的签名、钤印、毛边本之类，之后渐渐喜欢看其书中披露的难得一见之书，也就是韦力的收藏。这次从网上习惯性买来韦力的书，《觅曲记》，展看附赠的一张“觅曲寻踪舆图”，发现韦力写到了泰州，继而看到书中孔尚任和施耐庵的专篇，如此，对于我这泰州人来说，无疑平添意味。此前不晓得韦力到泰州来过，若非有了《觅曲记》，那韦力不免来无影去无踪了。认真看了他有关“孔尚任故居”的文字，感觉韦力所记煞是亲切，因为我对这“故居”是早就熟悉了的，只是看完之后，不禁又生一念：韦力上当了。韦力在“孔尚任故居”，不像常人蜻蜓点水游览一过，看得出来，他极其认真。从大面上“景区的路径太过商业化”，“尤为可气的是”“显然让人不舒服”，到了“故居”，看外形，进门看影壁，看正殿，看厢房，到后院，看古筝合奏……一路下来，韦力皆有好奇或疑惑，只是他没有提及这“故居”的真与假。1980年代，泰州发现“孔尚任故居”（陈庵）经历了一番论证，最终作为了泰州文物保护单位自是不那么容易，可惜的是，不多久的城市建设浪潮，竟让文物“孔尚任故居”落得拆房子、卖木料的地步，“孔尚任故居”从此荡然无存。后来，该是有识之士提了意见，有关方面也觉理亏，遂在泰州市第二中学内重建了仿真的“孔尚任故居”两进平房，再之后泰州搞旅游建设，号称“戏曲文化三家村”（梅苑、桃园、柳园）的方案实施，很快在距原“孔尚任故居”东面几百米的地方建起了桃园，在桃园建起了全新的殿堂式的“孔尚任故居”——这就是韦力寻踪所见之“故居”，一个假故居。说韦力上当了，也不一定。韦力作为一个见多识广的明眼之人，他会看不出来那“故居”是个新鲜玩意儿？不大可能，或许只是他故意留的一个“悬念”罢。在泰州兴化的“施耐庵墓”，韦力倒是问了“它究竟是不是施耐庵的真墓”，但“可惜，没有人能给我出正面的回答”。呵呵，给你韦力正面回答，你会一下子扫兴的。前面写到韦力的“好奇”，他是说厢房里的“博古架上还摆着几摞线装书”，“很好奇是什么书，可惜不让进入”——这是一位古籍收藏大家的自然反应，可以想见韦力对线装书痴迷的程度。这样吧，待方便时我去代劳一下，到时当会有个答案以释韦力牵挂。
1,%B0%A2%C7%EC,阿庆,2017-12-14,16:35:31,“可惜，没有人能给我出正面的回答”应为“可惜，没有人能给我正面的回答”
2,%C6%D6%B6%AB%C8%CB%D1%EE%BD%AD%C9%FA,浦东人杨江生,2017-12-15,10:57:42,韦芷兰先生写的是游记随笔，当成历史文献去考证就没意思了。何况历史本来也是胡说八道，焉知被毁的“真孔尚任故居”不是更早的人弄的假故居？以中国人的经济头脑，孔尚任棺材板一盖好，就应该立马找泥水匠，三五幢大房子叠起来招揽游客了。
3,%C6%D6%B6%AB%C8%CB%D1%EE%BD%AD%C9%FA,浦东人杨江生,2017-12-15,11:03:02,不过韦芷兰写文章虽极认真，还是略逊淮南小山楼主人半筹。后者的话，看到一摞线装书，必然要四处兜圈，专家老师导游门卫问个便，问不出结果，上厕所也要再问问打扫阿姨，函套里面是不是塞的草纸充数吖？当然这些都要写进书里，这是书话的要点。
4,%B0%A2%C7%EC,阿庆,2017-12-16,01:24:16,居然就有“浦东人杨江生”这种犯傻者来跟这种鸟帖
5,%B0%A2%C7%EC,阿庆,2017-12-16,01:25:38,浦东人杨江生，你上当了
6,%BB%B9%CA%C7%C2%CC%B2%E8,还是绿茶,2017-12-20,13:05:23,拆那一路拆
7,%C6%D6%B6%AB%C8%CB%D1%EE%BD%AD%C9%FA,浦东人杨江生,2017-12-22,19:47:14,鸟帖为啥不好，鸟帖写到极致不也就成了屌帖。
8,%BD%F0%CB%DA%B5%C0%C8%CB%B9%CB%D6%D9%E7%F8,金粟道人顾仲瑛,2018-01-01,16:06:07,有没有施耐庵这个人都是个问题，何况水浒传的成书年代现在还争论不休
9,%B0%A2%C7%EC,阿庆,2018-01-21,23:34:00,有没有施耐庵这个人都是个问题，何况水浒传的成书年代现在还争论不休 =====这是明眼人的说法
10,pi,pi,2018-04-17,18:47:52,施耐庵绝对是胡扯。孔尚任的墓我记得好像在山东曲阜。
